#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL2	0.314242	0.00405788	0.0269934	0.00831532	0.83083	0.683253	0.816205	0.726052	0.636656	0.631576	0.687064	0.261963	0.23021	0.158799	0.623314	0.00286641	0.878423	0.790248	0.59743	0.59743	N/A
ORTHOMCL3	0.0154516	0.131386	0.000830783	0.00401789	0.547845	0.347023	0.299311	0.726052	0.636656	0.000253477	0.687064	0.000422486	0.0209046	0.60885	0.623314	0.90436	2.7982e-05	0.469191	0.59743	0.59743	N/A
ORTHOMCL4	0.643185	0.0893893	0.5	0.5	0.202603	1.54533e-05	1.63845e-09	0.649513	0.00312146	0.192899	6.17174e-13	1.7625e-19	6.65172e-11	0.0875167	0.664327	0.768308	0.00058834	0.553898	0.63254	0.63254	N/A
ORTHOMCL5	0.386902	3.2636e-09	0.598848	0.603682	1.27021e-06	0.283967	5.44654e-05	0.11967	0.601709	0.837258	0.643893	0.0217614	0.89867	0.355803	0.591044	0.0389413	0.218688	0.186461	0.570869	0.570869	N/A
ORTHOMCL6	0.643185	0.0893893	0.26162	0.117044	0.774272	0.0368825	0.75665	0.664813	0.592101	0.31373	0.631454	0.819512	0.876542	0.494375	0.582269	3.77969e-13	0.193955	0.35697	0.563791	0.563791	N/A
ORTHOMCL7	0.0281509	0.260675	0.731191	0.0679351	0.801747	0.000284414	0.0189954	0.692094	0.610954	0.000140982	0.0901119	0.831983	0.169387	0.00244197	0.591044	0.468321	0.838045	0.000173006	0.570869	0.107403	N/A
ORTHOMCL8	0.680145	0.00260967	0.000666544	0.000141764	0.0154081	0.232713	0.75665	0.664813	0.592101	0.825175	0.0705784	0.80438	0.876542	0.805571	0.573189	0.000970418	0.31069	0.710053	0.556527	0.556527	N/A
ORTHOMCL10	0.614239	0.614239	0.209657	0.643149	0.736779	0.827856	0.718823	0.632968	0.571727	0.792232	0.604273	0.785773	0.865064	0.787038	0.563792	0.852036	1.14631e-08	0.690319	0.549072	0.549072	N/A
ORTHOMCL14	0.000750006	0.629186	0.00619014	0.643149	0.176912	0.173015	0.718823	0.632968	0.571727	0.792232	0.604273	0.0539794	0.578638	0.416317	0.563792	0.852036	0.000674415	0.294521	0.549072	0.549072	N/A
ORTHOMCL15	0.0564491	0.598268	0.618736	0.62428	0.712836	0.140176	0.695259	0.615058	0.108567	0.251595	0.604273	0.456543	0.578638	0.416317	0.563792	0.371312	4.40392e-06	0.294521	0.549072	0.549072	N/A
ORTHOMCL16	0.614239	0.174066	0.00619014	0.0188566	0.736779	0.173015	0.718823	0.632968	0.571727	0.0207409	0.604273	0.0184736	0.578638	0.416317	0.0290904	0.547813	0.785284	0.667978	0.54142	0.54142	N/A
ORTHOMCL19	0.643185	0.0190756	3.61758e-07	0.603682	0.00476819	0.495185	0.301792	0.615058	0.560925	0.216065	0.589422	0.414026	0.827997	0.364849	0.554064	0.834839	0.11089	0.25807	0.54142	0.54142	N/A
ORTHOMCL20	0.0675435	0.614239	3.39013e-06	0.074402	0.149869	0.80778	0.695259	0.615058	0.560925	0.769366	0.589422	0.762588	0.849685	0.763911	0.554064	0.547813	0.453964	0.667978	0.54142	0.54142	N/A
ORTHOMCL23	0.100115	0.656303	0.553663	0.556541	6.32454e-07	0.029253	0.205618	0.574613	0.538001	0.702598	0.556895	0.299707	0.464791	0.697181	0.533566	1.07876e-07	0.0506529	0.613753	0.525503	0.525503	N/A
ORTHOMCL24	0.174066	6.6216e-07	0.598848	0.0597479	0.0336383	0.780829	0.667769	0.595654	0.54969	0.740238	0.573651	0.733315	0.827997	0.364849	0.543994	0.497986	0.19703	0.642616	0.533566	0.533566	N/A
ORTHOMCL26	0.121121	0.680145	0.598848	0.0597479	1.49731e-07	0.0494938	0.667769	0.595654	0.54969	0.740238	0.573651	0.16969	0.370283	0.648552	0.0174728	0.431113	0.718954	0.172118	0.525503	0.525503	N/A
ORTHOMCL28	0.0893893	0.643185	0.637037	0.643149	0.0654152	0.827856	0.132696	0.0678616	0.00102588	0.702598	0.020347	0.221767	0.74394	0.223479	0.522768	0.0496011	0.667897	0.580824	0.517225	0.517225	N/A
