FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>
ORTHOMCL1	+0	+0	-2	+2	+3	+1	+0	+2	+0	-2	+0	-1	+1	-1	+0	+0	+2	+0	+0	+0	+0
ORTHOMCL2	-1	+3	-2	+3	+0	-1	+0	+0	+0	-1	+0	-2	-3	+2	+0	+7	+0	+0	+0	+0	+0
ORTHOMCL3	-2	+1	+4	-3	-1	-2	+1	+0	+0	+7	+0	-6	-5	-1	+0	+0	+9	-1	+0	+0	+0
ORTHOMCL4	+0	+1	+0	+0	+1	-6	-7	+0	-2	-2	-10	+28	-16	+3	+0	-1	+8	-1	+0	+0	+0
ORTHOMCL5	-1	+9	+0	+0	+8	-2	-5	+1	+0	+0	+0	-3	+0	+1	+0	+4	-2	+1	+0	+0	+0
ORTHOMCL6	+0	+1	-1	+1	+0	-3	+0	+0	+0	+1	+0	+0	+0	-1	+0	+21	-2	-1	+0	+0	+0
ORTHOMCL7	+2	-1	+0	+2	+0	-6	+3	+0	+0	+7	+1	+0	-2	-3	+0	+1	+0	-4	+0	-1	+0
ORTHOMCL8	+0	+3	-3	+4	+3	-2	+0	+0	+0	+0	+1	+0	+0	+0	+0	-5	+1	+0	+0	+0	+0
ORTHOMCL9	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+1	+0	-1	+0	+0	+1	+0	+0	+0	+0
ORTHOMCL10	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+11	+0	+0	+0	+0
ORTHOMCL11	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+5	+0	+0	+0	+0
ORTHOMCL13	+0	+1	+0	+0	+0	+1	-1	+0	+0	+1	+0	+0	-1	+0	+0	+1	+0	+0	+0	+0	+0
ORTHOMCL14	+3	+0	-2	+0	+1	-2	+0	+0	+0	+0	+0	-2	-1	-1	+0	+0	+5	-1	+0	+0	+0
ORTHOMCL15	+1	+0	+0	+0	+0	-2	+0	+0	-1	+1	+0	-1	-1	-1	+0	+1	+8	-1	+0	+0	+0
ORTHOMCL16	+0	-1	-2	+2	+0	-2	+0	+0	+0	+3	+0	+3	-1	-1	+1	-1	+0	+0	+0	+0	+0
ORTHOMCL17	+0	+0	+0	+0	+2	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0
ORTHOMCL19	+0	+2	-4	+0	+3	-1	-1	+0	+0	+1	+0	-1	+0	-1	+0	+0	+2	-1	+0	+0	+0
ORTHOMCL20	+1	+0	-4	+1	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	-1	+0	+0	+0	+0
ORTHOMCL21	-1	+1	+0	-1	+0	+0	-1	+0	+0	+0	+0	+0	+0	+2	+0	+0	-1	+0	+0	+0	+0
ORTHOMCL22	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	-1	+0	-1	-1	+0	+0	+0	+0
ORTHOMCL23	+1	+0	+0	+0	+6	-2	-1	+0	+0	+0	+0	-1	-1	+0	+0	+10	+2	+0	+0	+0	+0
ORTHOMCL24	-1	+5	+0	+1	+2	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	-1	+1	+0	+0	+0	+0
ORTHOMCL25	-1	+0	-2	+0	-1	+2	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	-2	+0	+0	+0	+0
ORTHOMCL26	+1	+0	+0	+1	+7	-2	+0	+0	+0	+0	+0	+1	-1	+0	+1	-1	+0	-1	+0	+0	+0
ORTHOMCL27	+0	+0	+0	+0	+0	-1	+0	-1	+0	+0	+0	+0	-1	-1	+0	-1	+1	+0	+0	+0	+0
ORTHOMCL28	+1	+0	+0	+0	+2	+0	+1	+1	+2	+0	+1	-1	+0	-1	+0	+2	+0	+0	+0	+0	+0
ORTHOMCL29	+1	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+1	+0	+0	+0	+2	+1	+0	+0	+0	+0
ORTHOMCL30	+0	+2	-1	+1	+0	-1	+0	+0	+0	+2	+0	-1	-1	-1	+0	+4	+0	+0	+0	+0	+0
ORTHOMCL31	-2	+1	-1	+2	+0	+1	+0	+0	+0	+0	+0	+1	+1	+1	+0	-2	+0	+1	+0	+0	+0
ORTHOMCL32	-2	+0	+0	+0	+0	-1	+2	+0	+0	-1	+0	-1	-1	-1	+0	+5	+6	-2	+0	+0	+0
ORTHOMCL33	+2	+0	-1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0
ORTHOMCL34	-2	+0	+0	+0	+0	-1	-1	+0	+0	+7	+0	+0	+0	+0	+0	-1	+2	+0	+0	+0	+0
ORTHOMCL35	+0	+0	+0	+0	-1	+45	-1	+0	+0	-1	+0	-1	+0	-1	+0	-1	-1	+0	+0	+0	+0
ORTHOMCL36	+1	+0	+0	+0	+1	-1	+1	+0	+0	+0	+0	-1	+0	+0	+0	-1	+0	+0	+0	+0	+0
ORTHOMCL37	+0	+0	-1	+1	+1	+0	+0	+0	+0	+0	+0	+0	-2	+0	+0	+1	+1	+0	+0	+0	+0
ORTHOMCL38	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+1	+0	+0	+0	+0
ORTHOMCL39	+0	+1	-1	+0	+3	-3	-2	+0	+0	+4	+0	+1	-1	-1	+0	-3	+7	-2	+0	+0	+0
ORTHOMCL41	+0	+0	+0	+0	+0	+2	-2	+1	+0	-1	+0	-1	+1	+0	-1	+10	-2	+0	+0	+0	+0
ORTHOMCL42	-1	+0	+0	+0	+0	+2	-2	+0	+0	-1	+0	+0	+4	-1	+0	+2	+0	+0	+0	+0	+0
ORTHOMCL43	+0	-1	-1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0
ORTHOMCL44	+0	+0	-4	+2	+1	-4	+0	+0	+0	+0	+0	+1	-1	+0	+0	+2	-2	-1	+1	-1	+0
ORTHOMCL46	+0	+0	+0	-2	+0	+0	+0	+0	+0	-1	+0	+0	+1	+1	+0	+0	-1	+0	+0	+0	+0
ORTHOMCL47	+2	-1	+0	+0	+0	+0	-1	+0	+0	-1	+0	+0	+0	-1	+0	+1	+0	+0	+0	+0	+0
ORTHOMCL48	-1	+0	-1	+7	+0	+3	+0	+0	+1	-1	+0	-1	-1	+0	+0	+0	-1	+0	+0	+0	+0
ORTHOMCL49	-1	+0	+0	+0	+0	-2	-1	+0	-1	+4	+0	+3	+0	-1	+0	+5	-3	+0	+0	+0	+0
ORTHOMCL50	+1	+0	+0	+0	+1	-4	-4	+0	+0	+1	+0	+1	-1	-1	+0	+0	+2	-3	+0	+0	+0
ORTHOMCL51	+0	+0	-2	+2	+0	-2	+0	+0	+0	+0	+0	-1	-2	+1	+0	+3	-2	+0	+0	+0	+0
ORTHOMCL52	+0	+0	+0	+0	+0	+2	-1	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	-1	+0	+0	+0
ORTHOMCL53	+0	+1	+0	+0	+0	-3	-3	+0	-1	+3	+0	+0	-4	+0	+0	+0	+0	+0	+0	+0	+0
ORTHOMCL54	+3	+0	+0	+2	+5	-2	+1	+0	+1	-1	+0	-1	+0	+0	+0	+3	+0	-1	+0	+0	+0
ORTHOMCL55	+0	+0	-1	+0	+3	+0	+0	+0	+0	-1	+0	+1	+1	+0	+0	+2	-1	+0	+0	+0	+0
ORTHOMCL56	+1	+0	-3	+0	+2	-3	+0	+0	+0	+4	+0	+3	-1	-1	+1	-2	+0	-1	+0	+0	+0
ORTHOMCL57	+0	-1	+0	+0	+0	-1	-1	+0	+0	+0	+0	+0	-1	-1	+0	-1	+3	+0	+0	+0	+0
ORTHOMCL58	+0	+1	+0	+0	+4	-2	+0	+0	+0	+3	+1	+0	+0	+0	+1	-1	+0	-2	+0	+0	+0
ORTHOMCL60	+0	+0	+0	+0	+0	-1	-1	+0	+0	+0	+0	-1	+0	+0	+0	+0	-1	+0	+0	+0	+0
ORTHOMCL61	-1	+3	+0	+0	+0	-1	-1	+0	+0	+4	+0	-1	+0	+0	+0	+2	+4	-1	+0	+0	+0
ORTHOMCL62	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+8	-1	-1	+6	+0	+0	+0	+0	+0
ORTHOMCL63	+1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+2	+0	+0	+0	+0
ORTHOMCL64	+2	+0	-1	+0	+3	+0	+0	+0	+0	+2	+0	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0
ORTHOMCL65	+0	+0	+0	+0	+5	-1	-1	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	-1	+0	+0	+0
ORTHOMCL66	+2	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0
ORTHOMCL67	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+28	+0	+0	+0	+0
ORTHOMCL68	+0	+4	+0	+0	+1	-2	+0	+0	+0	+0	+0	+1	-2	+1	+0	+1	+0	+0	+0	+0	+0
ORTHOMCL69	-3	+2	+0	+0	+0	-2	-2	+0	-2	+2	+0	+2	-3	+0	+0	+0	+1	-1	+0	+0	+0
ORTHOMCL70	+5	+0	+0	+0	+3	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+5	+0	+0	+0	+0
ORTHOMCL71	+1	+0	-1	+0	+0	-3	-2	+0	+0	+1	+0	+1	-1	-1	+0	+1	+3	-2	+0	+0	+0
ORTHOMCL72	+0	+0	+0	+0	+1	+1	+0	+0	+0	+1	+0	-1	+0	+0	+0	+1	+0	+0	+0	+0	+0
ORTHOMCL73	+2	+0	-1	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0
ORTHOMCL74	+1	+0	-2	+0	+4	-1	+0	+0	+0	-1	+0	-1	-1	+1	+0	+0	-1	+0	+0	+0	+0
ORTHOMCL75	+0	+2	+0	-1	+0	+1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+1	-1	+0	+0	+0	+0
ORTHOMCL76	+3	+0	+0	+0	+6	-1	-1	+0	+0	-1	+0	-1	+0	+0	+0	+1	+3	+0	+0	+0	+0
ORTHOMCL77	+0	+0	+0	+0	+3	-2	-2	+0	+0	+2	+0	-2	-1	-1	+0	+2	+5	-1	+0	+0	+0
ORTHOMCL78	+0	+1	+0	+0	+3	-1	-1	+0	+0	-1	+0	+0	-1	-1	-1	+7	+4	-1	+0	+0	+0
ORTHOMCL79	+0	+3	+0	-1	+5	-1	-1	+0	+0	+6	+0	+0	+0	+0	+0	+3	-1	+0	+0	-1	+0
ORTHOMCL80	+1	+0	-2	+0	+1	-2	+0	+0	+0	-2	+0	+0	+1	+0	+0	+3	+1	+0	+0	+0	+0
ORTHOMCL81	+1	+0	-1	+1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+1	+0	+1	+0	+0	+0	+0	+0
ORTHOMCL82	+0	+2	-2	+0	+1	-2	+0	+0	+0	+0	+0	-2	-1	-1	+0	+6	+2	-1	+0	+0	+0
ORTHOMCL83	+0	+0	+0	+0	+0	+0	-1	+0	-1	+0	+0	+0	-1	+0	+0	-1	+0	+0	+0	+0	+0
