FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>
ORTHOMCL1	21	21	14	18	21	19	16	18	16	14	16	15	17	15	16	16	18	16	16	16	16
ORTHOMCL2	12	16	11	16	13	12	13	13	13	12	13	11	10	15	13	20	13	13	13	13	13
ORTHOMCL3	10	13	18	11	12	11	14	13	13	20	13	7	7	11	13	13	22	12	13	13	13
ORTHOMCL4	8	9	0	0	8	1	0	7	7	7	9	47	2	21	19	18	27	18	19	19	19
ORTHOMCL5	17	27	4	4	18	8	4	10	9	9	9	6	10	11	9	13	7	10	9	9	9
ORTHOMCL6	8	9	7	9	8	5	8	8	8	9	8	8	7	6	8	29	6	7	8	8	8
ORTHOMCL7	12	9	13	15	10	4	13	10	10	17	10	9	2	1	9	10	8	4	9	8	9
ORTHOMCL8	11	14	5	12	11	6	8	8	8	8	8	7	7	7	7	2	8	7	7	7	7
ORTHOMCL9	8	8	7	7	8	7	7	7	7	7	7	8	7	6	7	7	8	7	7	7	7
ORTHOMCL10	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	17	6	6	6	6
ORTHOMCL11	6	6	6	6	6	5	6	6	6	6	6	6	5	6	6	6	11	6	6	6	6
ORTHOMCL13	6	7	5	5	6	7	5	6	6	7	6	6	5	6	6	7	6	6	6	6	6
ORTHOMCL14	10	7	4	6	7	4	6	6	6	6	6	4	4	4	6	6	11	5	6	6	6
ORTHOMCL15	6	5	5	5	5	3	5	5	5	7	6	5	4	4	6	7	14	5	6	6	6
ORTHOMCL16	6	5	4	8	6	4	6	6	6	9	6	9	4	4	6	4	5	5	5	5	5
ORTHOMCL17	7	7	5	5	7	4	5	5	5	5	5	5	5	5	5	7	5	5	5	5	5
ORTHOMCL19	8	10	0	4	8	4	4	5	5	6	5	4	4	3	5	5	7	4	5	5	5
ORTHOMCL20	7	6	1	6	6	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5
ORTHOMCL21	4	6	4	3	5	5	4	5	5	5	5	5	5	7	5	5	4	5	5	5	5
ORTHOMCL22	5	5	5	5	5	5	5	5	5	6	5	5	5	4	5	4	4	5	5	5	5
ORTHOMCL23	10	9	2	2	9	1	2	3	3	3	3	2	2	3	3	13	5	3	3	3	3
ORTHOMCL24	5	11	4	5	6	4	4	4	4	4	4	4	4	3	4	3	5	4	4	4	4
ORTHOMCL25	3	4	3	5	4	7	5	5	5	5	5	5	6	5	5	5	3	5	5	5	5
ORTHOMCL26	12	11	4	5	11	2	4	4	4	4	4	5	1	2	4	2	3	2	3	3	3
ORTHOMCL27	4	4	5	5	4	3	5	4	5	5	5	5	4	4	5	4	6	5	5	5	5
ORTHOMCL28	9	8	6	6	8	6	6	6	5	3	3	1	2	1	2	4	2	2	2	2	2
ORTHOMCL29	5	4	4	4	4	3	4	4	4	4	4	5	4	4	4	6	5	4	4	4	4
ORTHOMCL30	4	6	3	5	4	3	4	4	4	6	4	3	3	3	4	8	4	4	4	4	4
ORTHOMCL31	2	5	3	6	4	5	4	4	4	4	4	5	6	6	4	2	4	5	4	4	4
ORTHOMCL32	2	4	6	6	4	3	6	4	4	3	4	3	1	1	4	9	10	2	4	4	4
ORTHOMCL33	6	4	3	4	4	4	4	4	4	5	4	4	4	4	4	5	4	4	4	4	4
ORTHOMCL34	2	4	3	3	4	3	3	4	4	11	4	4	4	4	4	3	6	4	4	4	4
ORTHOMCL35	0	0	0	0	0	46	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1
ORTHOMCL36	6	5	5	5	5	3	5	4	4	4	4	3	4	4	4	3	4	4	4	4	4
ORTHOMCL37	5	5	3	5	5	4	4	4	4	4	4	4	2	4	4	5	5	4	4	4	4
ORTHOMCL38	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	4	4	4	4
ORTHOMCL39	7	8	1	2	7	1	2	4	4	8	4	5	1	1	4	1	11	2	4	4	4
ORTHOMCL41	4	4	1	1	4	6	1	4	3	2	3	2	5	4	3	14	2	4	4	4	4
ORTHOMCL42	3	4	2	2	4	6	2	4	4	3	4	4	8	3	4	6	4	4	4	4	4
ORTHOMCL43	4	3	3	4	4	4	4	4	4	5	4	4	4	4	4	4	5	4	4	4	4
ORTHOMCL44	6	6	1	7	6	1	5	5	5	5	5	6	1	2	5	7	1	2	5	3	4
ORTHOMCL46	4	4	4	2	4	4	4	4	4	3	4	4	5	5	4	4	3	4	4	4	4
ORTHOMCL47	6	3	3	3	4	4	3	4	4	3	4	4	4	3	4	5	4	4	4	4	4
ORTHOMCL48	3	4	3	11	4	7	4	4	4	2	3	2	2	3	3	3	2	3	3	3	3
ORTHOMCL49	2	3	2	2	3	1	2	3	3	8	4	7	4	3	4	9	1	4	4	4	4
ORTHOMCL50	7	6	1	1	6	1	1	5	5	6	5	6	1	1	5	5	7	2	5	5	5
ORTHOMCL51	4	4	2	6	4	2	4	4	4	4	4	3	2	5	4	7	2	4	4	4	4
ORTHOMCL52	4	4	3	3	4	6	3	4	4	4	4	4	3	2	4	4	4	3	4	4	4
ORTHOMCL53	4	5	1	1	4	1	1	4	4	8	5	5	1	5	5	5	5	5	5	5	5
ORTHOMCL54	11	8	4	6	8	1	4	3	3	1	2	1	1	1	2	5	2	1	2	2	2
ORTHOMCL55	6	6	2	3	6	3	3	3	3	2	3	4	4	3	3	5	2	3	3	3	3
ORTHOMCL56	7	6	1	4	6	1	4	4	4	8	4	7	1	1	4	1	3	2	3	3	3
ORTHOMCL57	4	3	3	3	4	3	3	4	4	4	4	4	3	3	4	3	7	4	4	4	4
ORTHOMCL58	8	9	4	4	8	2	4	4	4	7	4	3	0	0	3	1	2	0	2	2	2
ORTHOMCL60	4	4	3	3	4	3	3	4	4	4	4	3	4	4	4	4	3	4	4	4	4
ORTHOMCL61	2	6	2	2	3	2	2	3	3	7	3	2	2	2	3	5	7	2	3	3	3
ORTHOMCL62	2	2	2	2	2	2	2	2	2	2	2	2	11	2	2	9	3	3	3	3	3
ORTHOMCL63	5	4	3	3	4	3	3	3	3	3	3	3	3	3	3	4	5	3	3	3	3
ORTHOMCL64	8	6	2	3	6	3	3	3	3	5	3	2	3	2	3	2	3	3	3	3	3
ORTHOMCL65	8	8	2	2	8	2	2	3	3	3	3	3	2	2	3	4	3	2	3	3	3
ORTHOMCL66	6	4	3	3	4	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3
ORTHOMCL67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29	1	1	1	1
ORTHOMCL68	4	8	3	3	4	1	3	3	3	3	3	4	1	4	3	4	3	3	3	3	3
ORTHOMCL69	0	5	1	1	3	1	1	3	3	7	5	7	1	4	5	5	6	4	5	5	5
ORTHOMCL70	10	5	2	2	5	2	2	2	2	1	2	2	2	2	2	2	7	2	2	2	2
ORTHOMCL71	5	4	1	2	4	1	2	4	4	5	4	5	1	1	4	5	7	2	4	4	4
ORTHOMCL72	4	4	3	3	4	4	3	3	3	4	3	2	3	3	3	4	3	3	3	3	3
ORTHOMCL73	6	4	2	3	4	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3
ORTHOMCL74	8	7	1	3	7	2	3	3	3	2	3	2	2	4	3	3	2	3	3	3	3
ORTHOMCL75	3	5	3	2	3	4	3	3	3	3	3	3	4	3	3	4	2	3	3	3	3
ORTHOMCL76	11	8	1	1	8	1	1	2	2	1	2	1	2	2	2	3	5	2	2	2	2
ORTHOMCL77	6	6	1	1	6	1	1	3	3	5	3	1	1	1	3	5	8	2	3	3	3
ORTHOMCL78	5	6	1	1	5	1	1	2	2	1	2	2	1	1	2	10	7	2	3	3	3
ORTHOMCL79	7	10	1	0	7	1	1	2	2	8	2	2	1	1	2	5	0	1	2	1	2
ORTHOMCL80	5	4	1	3	4	1	3	3	3	1	3	3	4	3	3	6	4	3	3	3	3
ORTHOMCL81	4	3	2	4	3	3	3	3	3	3	3	3	2	4	3	4	3	3	3	3	3
ORTHOMCL82	4	6	1	3	4	1	3	3	3	3	3	1	1	1	3	9	5	2	3	3	3
ORTHOMCL83	3	3	2	2	3	3	2	3	3	4	4	4	3	4	4	3	4	4	4	4	4
ORTHOMCL84	7	6	2	3	6	3	3	3	3	2	3	3	3	2	3	1	3	3	3	3	3
ORTHOMCL85	5	4	4	3	4	3	4	4	4	6	4	1	2	2	3	1	4	2	3	3	3
ORTHOMCL86	6	3	2	3	3	1	3	3	3	3	3	2	2	2	3	9	2	2	3	3	3
ORTHOMCL87	5	4	2	2	4	2	2	3	3	3	3	3	2	2	3	5	5	2	3	3	3
ORTHOMCL88	4	6	1	1	4	1	1	3	3	4	3	1	1	1	3	9	6	2	3	3	3
ORTHOMCL89	3	6	2	3	3	2	3	3	3	3	3	4	2	4	3	3	3	3	3	3	3
ORTHOMCL90	3	3	1	6	3	4	3	3	3	1	3	1	2	5	3	5	3	3	3	3	3
ORTHOMCL91	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3
ORTHOMCL92	5	5	2	5	5	2	3	3	3	4	3	2	2	2	2	3	2	2	2	2	2
ORTHOMCL93	3	3	2	2	3	3	2	3	3	4	3	3	4	4	3	2	4	3	3	3	3
ORTHOMCL94	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
ORTHOMCL95	4	7	1	2	4	1	2	2	2	1	2	1	2	5	2	4	6	3	3	3	3
ORTHOMCL96	3	4	1	5	3	1	3	3	3	4	3	5	1	2	3	3	4	2	3	3	3
ORTHOMCL97	12	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	12	1	1	1	1
ORTHOMCL98	4	2	3	4	3	3	3	3	3	4	3	2	3	3	3	2	3	3	3	3	3
ORTHOMCL99	4	3	2	2	3	3	2	3	3	2	3	3	3	3	3	4	4	3	3	3	3
ORTHOMCL100	6	3	2	2	3	3	2	3	3	4	3	3	2	3	3	3	2	3	3	3	3
ORTHOMCL101	2	2	2	3	2	2	2	2	2	2	2	6	2	4	3	1	7	3	3	3	3
ORTHOMCL102	5	3	3	3	3	4	3	3	3	3	3	3	3	2	3	2	2	3	3	3	3
ORTHOMCL103	6	5	0	1	5	1	1	2	2	2	2	1	1	3	2	6	7	3	3	3	3
