#FamilyID	Likelihood of Family
ORTHOMCL1	-31.4356
ORTHOMCL2	-40.1967
ORTHOMCL3	-61.7222
ORTHOMCL4	-153.032
ORTHOMCL5	-67.7327
ORTHOMCL6	-52.4896
ORTHOMCL7	-58.752
ORTHOMCL8	-48.4559
ORTHOMCL9	-18.7864
ORTHOMCL10	-33.1092
ORTHOMCL11	-22.0688
ORTHOMCL13	-19.7046
ORTHOMCL14	-37.6241
ORTHOMCL15	-34.5382
ORTHOMCL16	-35.2626
ORTHOMCL17	-19.0013
ORTHOMCL19	-43.1944
ORTHOMCL20	-31.9788
ORTHOMCL21	-23.7919
ORTHOMCL22	-16.6347
ORTHOMCL23	-49.091
ORTHOMCL24	-34.4759
ORTHOMCL25	-25.8981
ORTHOMCL26	-38.4243
ORTHOMCL27	-17.6721
ORTHOMCL28	-32.9157
ORTHOMCL29	-19.0648
ORTHOMCL30	-30.6195
ORTHOMCL31	-33.5451
ORTHOMCL32	-44.2389
ORTHOMCL33	-21.3569
ORTHOMCL34	-34.1507
ORTHOMCL35	-117.317
ORTHOMCL36	-19.6501
ORTHOMCL37	-21.2282
ORTHOMCL38	-14.6696
ORTHOMCL39	-57.7754
ORTHOMCL41	-42.1071
ORTHOMCL42	-27.4634
ORTHOMCL43	-19.105
ORTHOMCL44	-49.6732
ORTHOMCL46	-20.6333
ORTHOMCL47	-23.5931
ORTHOMCL48	-44.8696
ORTHOMCL49	-42.1697
ORTHOMCL50	-42.9375
ORTHOMCL51	-33.3112
ORTHOMCL52	-18.3334
ORTHOMCL53	-37.0046
ORTHOMCL54	-48.1657
ORTHOMCL55	-25.6866
ORTHOMCL56	-48.8447
ORTHOMCL57	-21.445
ORTHOMCL58	-38.1081
ORTHOMCL60	-16.3637
ORTHOMCL61	-42.117
ORTHOMCL62	-32.9613
ORTHOMCL63	-18.9414
ORTHOMCL64	-29.2917
ORTHOMCL65	-26.2389
ORTHOMCL66	-20.1269
ORTHOMCL67	-70.8226
ORTHOMCL68	-32.2466
ORTHOMCL69	-51.1658
ORTHOMCL70	-41.0789
ORTHOMCL71	-37.245
ORTHOMCL72	-16.6887
ORTHOMCL73	-21.5027
ORTHOMCL74	-32.9329
ORTHOMCL75	-22.4044
ORTHOMCL76	-43.2021
ORTHOMCL77	-44.3296
ORTHOMCL78	-46.2837
ORTHOMCL79	-55.7157
ORTHOMCL80	-32.246
ORTHOMCL81	-21.148
ORTHOMCL82	-44.0936
ORTHOMCL83	-16.9223
ORTHOMCL84	-25.7358
ORTHOMCL85	-29.3079
ORTHOMCL86	-35.8564
ORTHOMCL87	-23.5766
ORTHOMCL88	-45.4664
ORTHOMCL89	-26.0269
ORTHOMCL90	-38.4239
ORTHOMCL91	-12.7761
ORTHOMCL92	-27.1669
ORTHOMCL93	-17.477
ORTHOMCL94	-13.7057
ORTHOMCL95	-41.2595
ORTHOMCL96	-34.8351
ORTHOMCL97	-72.7908
ORTHOMCL98	-21.8489
ORTHOMCL99	-18.5421
ORTHOMCL100	-24.1053
ORTHOMCL101	-30.1535
ORTHOMCL102	-20.0779
ORTHOMCL103	-42.3386
ORTHOMCL104	-12.8193
ORTHOMCL105	-25.4711
ORTHOMCL106	-35.2187
ORTHOMCL107	-26.7155
ORTHOMCL108	-43.0547
ORTHOMCL109	-15.2066
ORTHOMCL110	-35.4158
ORTHOMCL111	-41.965
ORTHOMCL112	-17.5945
ORTHOMCL113	-27.7069
ORTHOMCL114	-11.9296
ORTHOMCL115	-32.335
ORTHOMCL117	-85.8755
ORTHOMCL118	-12.9102
ORTHOMCL119	-23.0778
ORTHOMCL120	-38.4397
ORTHOMCL121	-16.9714
ORTHOMCL122	-40.3387
ORTHOMCL123	-13.3131
ORTHOMCL124	-54.536
ORTHOMCL125	-12.5412
ORTHOMCL126	-42.3956
ORTHOMCL127	-20.3131
ORTHOMCL128	-17.1506
ORTHOMCL129	-14.5419
ORTHOMCL130	-21.7406
ORTHOMCL131	-40.2612
ORTHOMCL132	-24.9154
ORTHOMCL133	-28.5269
ORTHOMCL134	-38.7116
ORTHOMCL135	-15.192
ORTHOMCL136	-21.6541
ORTHOMCL137	-28.4119
ORTHOMCL138	-21.6087
ORTHOMCL139	-32.8466
