#FamilyID	pvalue	Significant at 0.05
ORTHOMCL1	0.112	n
ORTHOMCL2	0	y
ORTHOMCL3	0	y
ORTHOMCL4	0	y
ORTHOMCL5	0	y
ORTHOMCL6	0	y
ORTHOMCL7	0	y
ORTHOMCL8	0	y
ORTHOMCL9	0.99	n
ORTHOMCL10	0.003	y
ORTHOMCL11	0.592	n
ORTHOMCL13	0.837	n
ORTHOMCL14	0	y
ORTHOMCL15	0.002	y
ORTHOMCL16	0.002	y
ORTHOMCL17	0.8	n
ORTHOMCL19	0	y
ORTHOMCL20	0.005	y
ORTHOMCL21	0.195	n
ORTHOMCL22	0.978	n
ORTHOMCL23	0	y
ORTHOMCL24	0.001	y
ORTHOMCL25	0.088	n
ORTHOMCL26	0	y
ORTHOMCL27	0.925	n
ORTHOMCL28	0.001	y
ORTHOMCL29	0.794	n
ORTHOMCL30	0.005	y
ORTHOMCL31	0.003	y
ORTHOMCL32	0	y
ORTHOMCL33	0.34	n
ORTHOMCL34	0.002	y
ORTHOMCL35	0	y
ORTHOMCL36	0.562	n
ORTHOMCL37	0.352	n
ORTHOMCL38	0.996	n
ORTHOMCL39	0	y
ORTHOMCL41	0	y
ORTHOMCL42	0.028	y
ORTHOMCL43	0.631	n
ORTHOMCL44	0	y
ORTHOMCL46	0.426	n
ORTHOMCL47	0.155	n
ORTHOMCL48	0	y
ORTHOMCL49	0	y
ORTHOMCL50	0	y
ORTHOMCL51	0.002	y
ORTHOMCL52	0.723	n
ORTHOMCL53	0.001	y
ORTHOMCL54	0	y
ORTHOMCL55	0.044	y
ORTHOMCL56	0	y
ORTHOMCL57	0.331	n
ORTHOMCL58	0	y
ORTHOMCL60	0.913	n
ORTHOMCL61	0	y
ORTHOMCL62	0.001	y
ORTHOMCL63	0.579	n
ORTHOMCL64	0.002	y
ORTHOMCL65	0.016	y
ORTHOMCL66	0.277	n
ORTHOMCL67	0	y
ORTHOMCL68	0.001	y
ORTHOMCL69	0	y
ORTHOMCL70	0	y
ORTHOMCL71	0.001	y
ORTHOMCL72	0.736	n
ORTHOMCL73	0.157	n
ORTHOMCL74	0.001	y
ORTHOMCL75	0.116	n
ORTHOMCL76	0	y
ORTHOMCL77	0	y
ORTHOMCL78	0	y
ORTHOMCL79	0	y
ORTHOMCL80	0.002	y
ORTHOMCL81	0.178	n
ORTHOMCL82	0	y
ORTHOMCL83	0.864	n
ORTHOMCL84	0.025	y
ORTHOMCL85	0.002	y
ORTHOMCL86	0	y
ORTHOMCL87	0.098	n
ORTHOMCL88	0	y
ORTHOMCL89	0.021	y
ORTHOMCL90	0	y
ORTHOMCL91	0.989	n
ORTHOMCL92	0.01	y
ORTHOMCL93	0.769	n
ORTHOMCL94	0.966	n
ORTHOMCL95	0	y
ORTHOMCL96	0.001	y
ORTHOMCL97	0	y
