#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL2	0.273627	0.00242773	0.0141867	0.00338168	0.809226	0.623052	0.77306	0.700303	0.616926	0.594796	0.663087	0.198986	0.187219	0.111067	0.597256	0.00129327	0.85593	0.753255	0.575916	0.575916	N/A
ORTHOMCL3	0.0107188	0.109374	9.79909e-06	0.0157523	0.799867	0.607855	0.77306	0.312817	0.616926	9.45204e-05	0.663087	0.000103455	0.0119162	0.551254	0.597256	0.893464	4.27829e-06	0.402697	0.575916	0.575916	N/A
ORTHOMCL5	0.71026	1.3191e-11	0.572568	0.576318	1.78045e-07	0.549051	0.000101941	0.0888211	0.577638	0.271917	0.612269	0.0541123	0.458233	0.0661482	0.563668	0.00398511	0.497629	0.129551	0.548975	0.548975	N/A
ORTHOMCL6	0.622792	0.0739914	0.198618	0.0835608	0.748562	0.0165963	0.709578	0.642458	0.577638	0.271917	0.612269	0.785359	0.861303	0.42906	0.563668	1.49673e-14	0.140529	0.294891	0.548975	0.548975	N/A
ORTHOMCL7	0.0200593	0.224455	0.684974	0.0388446	0.777439	4.56823e-05	0.0781201	0.278155	0.601954	0.000274653	0.0136527	0.799698	0.421255	0.00861127	0.570735	0.423194	0.806755	2.48264e-06	0.554574	0.0824945	N/A
ORTHOMCL8	0.656628	0.00154321	0.000234249	3.82906e-05	0.00969056	0.161024	0.709578	0.642458	0.577638	0.802889	0.0582925	0.768456	0.861303	0.769764	0.556417	0.000419657	0.250853	0.673535	0.543265	0.543265	N/A
ORTHOMCL10	0.596995	0.596995	0.156388	0.607813	0.710767	0.78638	0.673387	0.613618	0.560079	0.767248	0.588243	0.748381	0.847964	0.749719	0.548975	0.833005	7.97207e-10	0.655426	0.537443	0.537443	N/A
ORTHOMCL16	0.596995	0.147373	0.00307701	0.00994102	0.710767	0.0544081	0.673387	0.613618	0.560079	0.0132593	0.588243	0.0094324	0.53856	0.351633	0.0218486	0.505951	0.747799	0.635495	0.531506	0.531506	N/A
ORTHOMCL20	0.0557865	0.596995	7.32364e-07	0.0527045	0.125494	0.763222	0.652097	0.597715	0.550865	0.743443	0.575313	0.724369	0.830232	0.725708	0.541338	0.505951	0.388686	0.635495	0.531506	0.531506	N/A
ORTHOMCL23	0.0829757	0.634679	0.538475	0.540597	2.14594e-07	0.0149935	0.153549	0.562548	0.531513	0.67762	0.547442	0.244003	0.421255	0.661548	0.525451	2.17399e-08	0.0315732	0.589285	0.519275	0.519275	N/A
ORTHOMCL24	0.582998	6.23121e-09	0.572568	0.0422473	0.101396	0.73396	0.628286	0.58072	0.541347	0.714107	0.561725	0.695444	0.80572	0.303036	0.533498	0.454502	0.153924	0.613528	0.525451	0.525451	N/A
ORTHOMCL25	0.102981	0.568205	0.00209148	0.592557	0.289237	0.0872898	0.652097	0.597715	0.550865	0.743443	0.575313	0.724369	0.317937	0.725708	0.541338	0.813477	0.032516	0.635495	0.531506	0.531506	N/A
ORTHOMCL26	0.100673	0.656628	0.572568	0.0422473	4.29894e-08	0.0265281	0.628286	0.58072	0.541347	0.714107	0.561725	0.131564	0.328744	0.618512	0.0131172	0.387447	0.681686	0.134778	0.519275	0.519275	N/A
