#FamilyID	Likelihood of Family
ORTHOMCL2	-42.7029
ORTHOMCL3	-68.5955
ORTHOMCL5	-73.4778
ORTHOMCL6	-56.7904
ORTHOMCL7	-64.8232
ORTHOMCL8	-52.1662
ORTHOMCL10	-35.0007
ORTHOMCL11	-21.9281
ORTHOMCL13	-19.1487
ORTHOMCL16	-37.8226
ORTHOMCL17	-18.3557
ORTHOMCL20	-33.1283
ORTHOMCL22	-15.8146
ORTHOMCL23	-53.2246
ORTHOMCL24	-35.6886
ORTHOMCL25	-26.7808
ORTHOMCL26	-41.1259
ORTHOMCL27	-17.3817
ORTHOMCL28	-34.5827
ORTHOMCL29	-18.8729
ORTHOMCL31	-35.2767
ORTHOMCL32	-48.1091
ORTHOMCL33	-21.1104
ORTHOMCL34	-35.5744
ORTHOMCL37	-21.481
ORTHOMCL38	-13.5738
ORTHOMCL39	-63.8025
ORTHOMCL41	-45.5689
ORTHOMCL42	-28.9718
ORTHOMCL43	-18.7183
ORTHOMCL46	-20.7563
ORTHOMCL47	-23.7948
ORTHOMCL50	-46.9097
ORTHOMCL51	-35.9349
ORTHOMCL52	-18.4796
ORTHOMCL54	-52.1344
ORTHOMCL55	-26.7117
ORTHOMCL56	-53.3921
ORTHOMCL57	-22.0212
ORTHOMCL58	-40.7237
ORTHOMCL61	-45.3729
ORTHOMCL62	-34.8743
ORTHOMCL63	-18.7953
ORTHOMCL64	-30.7452
ORTHOMCL65	-27.2969
ORTHOMCL66	-19.8495
ORTHOMCL67	-77.7369
ORTHOMCL68	-33.8533
ORTHOMCL70	-43.3422
ORTHOMCL71	-40.5786
ORTHOMCL72	-16.3587
ORTHOMCL73	-21.5676
ORTHOMCL74	-34.9257
ORTHOMCL75	-22.8303
ORTHOMCL76	-46.084
ORTHOMCL77	-48.5501
ORTHOMCL78	-50.3216
ORTHOMCL79	-60.1979
ORTHOMCL80	-34.2078
ORTHOMCL81	-21.4807
ORTHOMCL82	-47.892
ORTHOMCL83	-16.6347
ORTHOMCL84	-26.6592
ORTHOMCL85	-31.0778
ORTHOMCL86	-38.281
ORTHOMCL87	-24.6832
ORTHOMCL88	-49.6442
ORTHOMCL89	-26.9121
ORTHOMCL90	-41.3616
ORTHOMCL92	-28.7357
ORTHOMCL93	-17.4791
ORTHOMCL94	-12.854
ORTHOMCL96	-37.5553
ORTHOMCL97	-77.5138
ORTHOMCL98	-22.094
ORTHOMCL99	-18.5392
ORTHOMCL101	-32.1625
ORTHOMCL102	-20.2978
ORTHOMCL104	-11.8971
ORTHOMCL105	-26.3433
ORTHOMCL106	-38.2184
ORTHOMCL107	-28.3685
ORTHOMCL108	-46.6197
ORTHOMCL109	-14.7174
ORTHOMCL110	-37.6535
