#FamilyID	pvalue	Significant at 0.05
ORTHOMCL2	0	y
ORTHOMCL3	0	y
ORTHOMCL5	0	y
ORTHOMCL6	0	y
ORTHOMCL7	0	y
ORTHOMCL8	0	y
ORTHOMCL10	0.001	y
ORTHOMCL11	0.366	n
ORTHOMCL13	0.718	n
ORTHOMCL16	0	y
ORTHOMCL17	0.685	n
ORTHOMCL20	0.002	y
ORTHOMCL22	0.942	n
ORTHOMCL23	0	y
ORTHOMCL24	0	y
ORTHOMCL25	0.026	y
ORTHOMCL26	0	y
ORTHOMCL27	0.799	n
ORTHOMCL28	0	y
ORTHOMCL29	0.614	n
ORTHOMCL31	0	y
ORTHOMCL32	0	y
ORTHOMCL33	0.232	n
ORTHOMCL34	0	y
ORTHOMCL37	0.205	n
ORTHOMCL38	0.981	n
ORTHOMCL39	0	y
ORTHOMCL41	0	y
ORTHOMCL42	0.004	y
ORTHOMCL43	0.459	n
ORTHOMCL46	0.26	n
ORTHOMCL47	0.084	n
ORTHOMCL50	0	y
ORTHOMCL51	0	y
ORTHOMCL52	0.483	n
ORTHOMCL54	0	y
ORTHOMCL55	0.009	y
ORTHOMCL56	0	y
ORTHOMCL57	0.169	n
ORTHOMCL58	0	y
ORTHOMCL61	0	y
ORTHOMCL62	0	y
ORTHOMCL63	0.365	n
ORTHOMCL64	0	y
ORTHOMCL65	0.004	y
ORTHOMCL66	0.183	n
ORTHOMCL67	0	y
ORTHOMCL68	0	y
ORTHOMCL70	0	y
ORTHOMCL71	0	y
ORTHOMCL72	0.551	n
ORTHOMCL73	0.098	n
ORTHOMCL74	0	y
ORTHOMCL75	0.055	n
ORTHOMCL76	0	y
ORTHOMCL77	0	y
ORTHOMCL78	0	y
ORTHOMCL79	0	y
ORTHOMCL80	0	y
ORTHOMCL81	0.102	n
ORTHOMCL82	0	y
ORTHOMCL83	0.724	n
ORTHOMCL84	0.007	y
ORTHOMCL85	0	y
ORTHOMCL86	0	y
ORTHOMCL87	0.023	y
ORTHOMCL88	0	y
ORTHOMCL89	0.007	y
ORTHOMCL90	0	y
ORTHOMCL92	0.002	y
ORTHOMCL93	0.564	n
ORTHOMCL94	0.918	n
ORTHOMCL96	0	y
ORTHOMCL97	0	y
ORTHOMCL98	0.079	n
ORTHOMCL99	0.289	n
ORTHOMCL101	0	y
ORTHOMCL102	0.158	n
ORTHOMCL104	0.967	n
ORTHOMCL105	0.02	y
ORTHOMCL106	0	y
ORTHOMCL107	0.002	y
ORTHOMCL108	0	y
ORTHOMCL109	0.746	n
