#FamilyID	pvalue	Significant at 0.05
ORTHOMCL2	0	y
ORTHOMCL3	0	y
ORTHOMCL5	0	y
ORTHOMCL6	0	y
ORTHOMCL7	0	y
ORTHOMCL8	0	y
ORTHOMCL10	0.001	y
ORTHOMCL16	0	y
ORTHOMCL20	0.002	y
ORTHOMCL23	0	y
ORTHOMCL24	0	y
ORTHOMCL25	0.026	y
ORTHOMCL26	0	y
ORTHOMCL28	0	y
ORTHOMCL31	0	y
ORTHOMCL32	0	y
ORTHOMCL34	0	y
ORTHOMCL39	0	y
ORTHOMCL41	0	y
ORTHOMCL42	0.004	y
ORTHOMCL50	0	y
ORTHOMCL51	0	y
ORTHOMCL54	0	y
ORTHOMCL55	0.009	y
ORTHOMCL56	0	y
ORTHOMCL58	0	y
ORTHOMCL61	0	y
ORTHOMCL62	0	y
ORTHOMCL64	0	y
ORTHOMCL65	0.004	y
ORTHOMCL67	0	y
ORTHOMCL68	0	y
ORTHOMCL70	0	y
ORTHOMCL71	0	y
ORTHOMCL74	0	y
ORTHOMCL76	0	y
ORTHOMCL77	0	y
ORTHOMCL78	0	y
ORTHOMCL79	0	y
ORTHOMCL80	0	y
ORTHOMCL82	0	y
ORTHOMCL84	0.007	y
ORTHOMCL85	0	y
ORTHOMCL86	0	y
ORTHOMCL87	0.023	y
ORTHOMCL88	0	y
ORTHOMCL89	0.007	y
ORTHOMCL90	0	y
ORTHOMCL92	0.002	y
ORTHOMCL96	0	y
ORTHOMCL97	0	y
ORTHOMCL101	0	y
ORTHOMCL105	0.02	y
ORTHOMCL106	0	y
ORTHOMCL107	0.002	y
ORTHOMCL108	0	y
ORTHOMCL110	0	y
ORTHOMCL111	0	y
ORTHOMCL113	0.002	y
ORTHOMCL115	0	y
ORTHOMCL122	0	y
ORTHOMCL124	0	y
ORTHOMCL132	0.009	y
ORTHOMCL133	0	y
ORTHOMCL134	0	y
ORTHOMCL137	0	y
ORTHOMCL139	0	y
ORTHOMCL140	0	y
ORTHOMCL141	0.002	y
ORTHOMCL142	0.007	y
ORTHOMCL143	0.015	y
ORTHOMCL144	0	y
ORTHOMCL145	0	y
ORTHOMCL147	0.002	y
ORTHOMCL149	0.002	y
ORTHOMCL150	0	y
ORTHOMCL153	0.017	y
ORTHOMCL154	0	y
ORTHOMCL157	0	y
ORTHOMCL159	0.002	y
ORTHOMCL160	0.002	y
ORTHOMCL161	0	y
ORTHOMCL162	0	y
ORTHOMCL164	0	y
ORTHOMCL165	0	y
ORTHOMCL167	0	y
ORTHOMCL170	0	y
