#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL15	0.595119	0.14448	0.609088	0.614299	0.70776	0.0148778	0.318797	0.611496	0.558832	0.210931	0.586506	0.43394	0.533715	0.393811	0.558283	0.321672	2.39227e-06	0.274495	0.54473	0.54473	N/A
ORTHOMCL44	0.595119	0.595119	2.17086e-06	0.0112068	0.122878	0.000467356	0.682154	0.595828	0.549792	0.740382	0.573793	0.190522	0.323981	0.637671	0.549319	0.073233	0.0172168	0.158413	0.0158705	0.0459097	N/A
ORTHOMCL49	0.0774439	0.551461	0.548749	0.551388	0.626881	0.0241785	0.189256	0.561255	0.0609129	0.000418786	0.560448	0.00534593	0.802972	0.343077	0.54007	0.000674846	0.00295753	0.632066	0.530524	0.530524	N/A
ORTHOMCL188	0.0364897	0.56681	0.525329	0.526758	0.00605587	0.267947	0.134218	0.542184	0.520879	0.0748853	0.531717	0.205378	0.63199	0.577626	0.520671	0.293136	2.05146e-06	0.111122	0.515626	0.515626	N/A
ORTHOMCL213	0.551461	0.0273956	0.548749	0.00179917	0.0501505	0.267947	0.589402	0.542184	0.520879	0.629462	0.531717	0.636596	0.767381	0.684529	0.520671	0.293136	0.235016	0.0400534	0.515626	0.515626	N/A
ORTHOMCL237	0.0364897	0.56681	0.0731406	0.551388	0.00605587	0.267947	0.589402	0.542184	0.520879	0.194594	0.531717	0.636596	0.323981	0.08049	0.520671	0.69426	0.0936058	0.57404	0.515626	0.515626	N/A
ORTHOMCL327	0.551461	0.0273956	0.525329	0.526758	0.0501505	0.267947	0.134218	0.542184	0.520879	0.629462	0.531717	0.205378	0.63199	0.577626	0.520671	0.69426	1.87538e-05	0.111122	0.515626	0.515626	N/A
ORTHOMCL462	0.551461	0.551461	0.0731406	0.551388	0.0501505	0.267947	0.589402	0.542184	0.520879	0.629462	0.531717	0.000903798	0.63199	0.577626	0.520671	0.69426	0.589782	0.539306	0.515626	0.0234399	N/A
ORTHOMCL499	0.551461	0.0273956	0.525329	0.526758	0.0501505	0.267947	0.134218	0.542184	0.520879	0.629462	0.531717	0.0797486	0.323981	0.08049	0.520671	0.69426	0.235016	0.57404	0.515626	0.515626	N/A
ORTHOMCL500	0.551461	0.0273956	0.525329	0.526758	0.0501505	0.267947	0.134218	0.542184	0.520879	0.629462	0.531717	0.636596	0.63199	0.577626	0.520671	0.293136	0.00143234	0.111122	0.515626	0.515626	N/A
ORTHOMCL559	0.56681	0.56681	0.0731406	0.0271079	0.00605587	0.267947	0.589402	0.542184	0.520879	0.0748853	0.00819108	0.576935	0.63199	0.577626	0.510501	0.616677	0.589782	0.539306	0.507907	0.507907	N/A
