FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>
ORTHOMCL1	+0	+0	-2	+2	+3	+1	+0	+2	+0	-2	+0	-1	+1	-1	+0	+0	+2	+0	+0	+0	+0
ORTHOMCL9	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+1	+0	-1	+0	+0	+1	+0	+0	+0	+0
ORTHOMCL15	+0	-1	+0	+0	+0	-3	-1	+0	+0	+1	+0	-1	-1	-1	+0	+1	+8	-1	+0	+0	+0
ORTHOMCL21	-1	+1	+0	-1	+0	+0	-1	+0	+0	+0	+0	+0	+0	+2	+0	+0	-1	+0	+0	+0	+0
ORTHOMCL36	+1	+0	+0	+0	+1	-1	+1	+0	+0	+0	+0	-1	+0	+0	+0	-1	+0	+0	+0	+0	+0
ORTHOMCL44	+0	+0	-4	+2	+1	-4	+0	+0	+0	+0	+0	+1	-1	+0	+0	+2	-2	-1	+1	-1	+0
ORTHOMCL49	-1	+0	+0	+0	+0	-2	-1	+0	-1	+4	+0	+3	+0	-1	+0	+5	-3	+0	+0	+0	+0
ORTHOMCL60	+0	+0	+0	+0	+0	-1	-1	+0	+0	+0	+0	-1	+0	+0	+0	+0	-1	+0	+0	+0	+0
ORTHOMCL188	+1	+0	+0	+0	+2	-1	-1	+0	+0	+1	+0	-1	+0	+0	+0	-1	+6	-1	+0	+0	+0
ORTHOMCL213	+0	+1	+0	+2	+1	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	-1	+1	+0	+0	+0
ORTHOMCL226	+1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+1	+0	+0	+2	+0	+0	+0	+0
ORTHOMCL233	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0	+0	+0	+0	+0
ORTHOMCL237	+1	+0	-1	+0	+2	-1	+0	+0	+0	-1	+0	+0	-1	+1	+0	+0	+1	+0	+0	+0	+0
