FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>
ORTHOMCL1	21	21	14	18	21	19	16	18	16	14	16	15	17	15	16	16	18	16	16	16	16
ORTHOMCL9	8	8	7	7	8	7	7	7	7	7	7	8	7	6	7	7	8	7	7	7	7
ORTHOMCL15	6	5	5	5	6	3	5	6	6	7	6	5	4	4	6	7	14	5	6	6	6
ORTHOMCL21	4	6	4	3	5	5	4	5	5	5	5	5	5	7	5	5	4	5	5	5	5
ORTHOMCL36	6	5	5	5	5	3	5	4	4	4	4	3	4	4	4	3	4	4	4	4	4
ORTHOMCL44	6	6	1	7	6	1	5	5	5	5	5	6	1	2	5	7	1	2	5	3	4
ORTHOMCL49	2	3	2	2	3	1	2	3	3	8	4	7	4	3	4	9	1	4	4	4	4
ORTHOMCL60	4	4	3	3	4	3	3	4	4	4	4	3	4	4	4	4	3	4	4	4	4
ORTHOMCL188	5	4	1	1	4	1	1	2	2	3	2	1	1	1	2	1	8	1	2	2	2
ORTHOMCL213	3	4	2	4	3	1	2	2	2	2	2	2	3	3	2	1	1	3	2	2	2
ORTHOMCL226	3	2	2	3	2	2	2	2	2	2	2	2	1	3	2	2	4	2	2	2	2
ORTHOMCL233	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2
ORTHOMCL237	5	4	1	2	4	1	2	2	2	1	2	2	1	3	2	2	3	2	2	2	2
ORTHOMCL327	3	4	1	1	3	1	1	2	2	2	2	1	1	1	2	2	7	1	2	2	2
ORTHOMCL394	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2
ORTHOMCL462	3	3	1	2	3	1	2	2	2	2	2	5	1	1	2	2	1	1	2	1	2
ORTHOMCL499	3	4	1	1	3	1	1	2	2	2	2	3	1	3	2	2	1	2	2	2	2
ORTHOMCL500	3	4	1	1	3	1	1	2	2	2	2	2	1	1	2	1	5	1	2	2	2
ORTHOMCL559	4	4	1	3	4	1	2	2	2	3	2	1	1	1	1	1	1	1	1	1	1
ORTHOMCL595	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2
ORTHOMCL607	2	2	1	3	2	1	2	2	2	3	2	1	1	1	2	1	4	1	2	2	2
ORTHOMCL638	5	6	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ORTHOMCL680	2	1	1	3	1	1	1	1	1	1	1	0	1	1	1	1	7	1	1	1	1
ORTHOMCL684	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	8	2	1	2	2
ORTHOMCL694	3	6	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
ORTHOMCL715	1	1	1	7	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
ORTHOMCL734	4	4	1	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ORTHOMCL780	2	2	1	1	2	1	1	2	2	5	2	3	1	1	2	1	1	1	1	1	1
ORTHOMCL802	1	1	1	2	1	2	2	2	2	3	2	2	2	1	2	2	1	2	2	2	2
ORTHOMCL880	5	1	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1
ORTHOMCL882	2	3	1	1	2	2	1	2	2	1	2	1	2	2	2	1	2	2	2	2	2
ORTHOMCL887	4	4	1	1	4	1	1	1	1	1	1	1	0	1	1	3	1	1	1	1	1
ORTHOMCL890	2	1	2	2	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2
ORTHOMCL921	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1
ORTHOMCL935	3	4	1	1	3	0	1	1	1	4	1	1	0	1	1	1	1	1	1	1	1
ORTHOMCL953	2	2	1	2	2	1	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2
ORTHOMCL970	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1
ORTHOMCL993	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
ORTHOMCL1018	2	3	1	1	2	1	1	2	2	2	2	1	1	1	2	2	2	1	2	2	2
ORTHOMCL1026	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	1	2	2	2	2
ORTHOMCL1071	1	2	1	1	2	2	1	2	2	1	2	2	2	3	2	1	1	2	2	2	2
ORTHOMCL1089	3	2	1	1	2	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1
ORTHOMCL1129	2	4	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
ORTHOMCL1229	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	4	1	1	1	1
ORTHOMCL1236	2	2	1	1	2	1	1	2	2	2	2	1	1	1	2	2	2	1	2	2	2
ORTHOMCL1247	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1
ORTHOMCL1256	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1
ORTHOMCL1291	3	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
ORTHOMCL1294	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
ORTHOMCL1301	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1
ORTHOMCL1362	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1
ORTHOMCL1436	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1
ORTHOMCL1440	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
ORTHOMCL1492	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
