#FamilyID	Likelihood of Family
ORTHOMCL1	-31.8288
ORTHOMCL9	-18.1085
ORTHOMCL15	-35.5336
ORTHOMCL21	-23.8317
ORTHOMCL36	-19.655
ORTHOMCL44	-51.3702
ORTHOMCL49	-44.4473
ORTHOMCL60	-15.9317
ORTHOMCL188	-38.2948
ORTHOMCL213	-26.1368
ORTHOMCL226	-21.1896
ORTHOMCL233	-13.9074
ORTHOMCL237	-26.665
ORTHOMCL327	-30.7635
ORTHOMCL394	-10.6824
ORTHOMCL462	-24.2044
ORTHOMCL499	-23.5218
ORTHOMCL500	-25.959
ORTHOMCL559	-25.4071
ORTHOMCL595	-15.5815
ORTHOMCL607	-26.0081
ORTHOMCL638	-21.309
ORTHOMCL680	-34.5363
ORTHOMCL684	-24.7493
ORTHOMCL694	-24.6515
ORTHOMCL715	-33.1825
ORTHOMCL734	-22.704
ORTHOMCL780	-23.709
ORTHOMCL802	-18.7883
ORTHOMCL880	-29.8053
ORTHOMCL882	-18.0436
ORTHOMCL887	-21.7992
ORTHOMCL890	-16.6724
ORTHOMCL921	-21.2465
ORTHOMCL935	-27.1312
ORTHOMCL953	-16.4483
ORTHOMCL970	-19.621
ORTHOMCL993	-19.5753
ORTHOMCL1018	-18.7568
ORTHOMCL1026	-14.7543
ORTHOMCL1071	-20.1117
ORTHOMCL1089	-19.9187
ORTHOMCL1129	-18.9327
ORTHOMCL1229	-20.6614
ORTHOMCL1236	-15.584
ORTHOMCL1247	-21.7476
ORTHOMCL1256	-16.8815
ORTHOMCL1291	-15.4005
ORTHOMCL1294	-18.0355
ORTHOMCL1301	-18.8927
ORTHOMCL1362	-17.19
ORTHOMCL1436	-15.4554
ORTHOMCL1440	-15.6237
ORTHOMCL1492	-20.9176
ORTHOMCL1506	-15.9724
ORTHOMCL1517	-15.6237
ORTHOMCL1590	-17.4757
ORTHOMCL1734	-14.1852
ORTHOMCL1802	-14.8109
ORTHOMCL1844	-13.6882
ORTHOMCL1855	-18.4376
ORTHOMCL1873	-12.4454
ORTHOMCL1904	-15.0818
ORTHOMCL1993	-12.1741
ORTHOMCL2050	-15.5611
ORTHOMCL2075	-16.6224
ORTHOMCL2076	-13.5466
ORTHOMCL2084	-20.3503
ORTHOMCL2150	-14.1852
ORTHOMCL2167	-12.1741
ORTHOMCL2212	-13.2075
ORTHOMCL2323	-11.6054
ORTHOMCL2359	-11.5606
ORTHOMCL2367	-13.0439
ORTHOMCL2440	-14.5402
ORTHOMCL2506	-14.5402
ORTHOMCL2596	-13.2075
ORTHOMCL2644	-13.3792
ORTHOMCL2649	-12.7282
ORTHOMCL2698	-14.1685
ORTHOMCL2702	-11.8315
ORTHOMCL2719	-11.2898
ORTHOMCL2722	-11.3895
ORTHOMCL2742	-10.0917
ORTHOMCL2768	-11.5606
ORTHOMCL2820	-11.7862
ORTHOMCL2860	-13.3792
ORTHOMCL2875	-10.0917
ORTHOMCL2879	-11.8315
ORTHOMCL2907	-11.8315
ORTHOMCL2960	-11.7862
ORTHOMCL2961	-11.8315
ORTHOMCL2985	-22.4145
ORTHOMCL3063	-11.0255
ORTHOMCL3115	-9.70572
ORTHOMCL3144	-11.0255
ORTHOMCL3197	-9.20696
ORTHOMCL3237	-13.693
ORTHOMCL3260	-9.04131
ORTHOMCL3280	-9.20696
ORTHOMCL3357	-11.0255
ORTHOMCL3361	-9.5226
ORTHOMCL3366	-10.6455
ORTHOMCL3410	-9.04131
ORTHOMCL3446	-9.5226
ORTHOMCL3490	-9.5226
ORTHOMCL3556	-11.0255
ORTHOMCL3613	-9.70572
ORTHOMCL3619	-10.6455
ORTHOMCL3648	-16.9932
ORTHOMCL3651	-9.20696
ORTHOMCL3656	-9.47784
ORTHOMCL3761	-9.5226
ORTHOMCL3763	-9.04131
ORTHOMCL3939	-9.20696
ORTHOMCL3972	-9.20696
ORTHOMCL4002	-11.0255
ORTHOMCL4003	-9.04131
ORTHOMCL4131	-9.5226
ORTHOMCL4135	-11.0255
ORTHOMCL4139	-9.5226
ORTHOMCL4147	-9.20696
ORTHOMCL4165	-11.0255
ORTHOMCL4219	-9.47784
ORTHOMCL4232	-11.8518
ORTHOMCL4233	-9.30676
ORTHOMCL4246	-9.20696
ORTHOMCL4309	-9.5226
ORTHOMCL4334	-9.20696
ORTHOMCL4336	-11.0255
ORTHOMCL4359	-9.70572
ORTHOMCL4376	-9.30676
ORTHOMCL4441	-7.12416
ORTHOMCL4449	-7.12416
ORTHOMCL4484	-7.12416
ORTHOMCL4596	-7.12416
ORTHOMCL4610	-7.12416
ORTHOMCL4616	-7.12416
ORTHOMCL4627	-7.12416
ORTHOMCL4700	-7.12416
ORTHOMCL4722	-7.12416
ORTHOMCL4740	-7.12416
ORTHOMCL4857	-16.235
ORTHOMCL4870	-7.12416
ORTHOMCL4874	-7.12416
ORTHOMCL4923	-7.12416
ORTHOMCL4943	-7.12416
ORTHOMCL4960	-7.12416
ORTHOMCL4973	-7.12416
ORTHOMCL4977	-7.12416
ORTHOMCL5155	-7.12416
ORTHOMCL5189	-7.12416
ORTHOMCL5241	-7.12416
ORTHOMCL5281	-7.12416
ORTHOMCL5295	-7.12416
ORTHOMCL5322	-7.12416
ORTHOMCL5334	-7.12416
ORTHOMCL5489	-7.12416
ORTHOMCL5549	-7.12416
ORTHOMCL5676	-7.12416
ORTHOMCL5682	-7.12416
ORTHOMCL5684	-7.12416
ORTHOMCL5783	-7.12416
ORTHOMCL5828	-7.12416
ORTHOMCL5856	-7.12416
ORTHOMCL5858	-7.12416
ORTHOMCL5869	-7.12416
ORTHOMCL5887	-7.12416
ORTHOMCL5912	-7.12416
ORTHOMCL5953	-7.12416
ORTHOMCL5983	-7.12416
ORTHOMCL6017	-7.12416
ORTHOMCL6025	-7.12416
ORTHOMCL6083	-7.12416
ORTHOMCL6111	-7.12416
ORTHOMCL6256	-7.12416
ORTHOMCL6260	-7.12416
ORTHOMCL6342	-7.12416
ORTHOMCL6371	-7.12416
ORTHOMCL6389	-11.462
ORTHOMCL6411	-7.12416
ORTHOMCL6456	-7.12416
ORTHOMCL6504	-7.12416
ORTHOMCL6506	-7.12416
ORTHOMCL6514	-7.12416
ORTHOMCL6520	-7.12416
ORTHOMCL6552	-7.12416
ORTHOMCL6562	-7.12416
ORTHOMCL6624	-11.9088
ORTHOMCL6627	-14.6106
ORTHOMCL6668	-7.12416
ORTHOMCL6691	-7.12416
ORTHOMCL6703	-7.12416
ORTHOMCL6739	-7.12416
ORTHOMCL6927	-7.12416
ORTHOMCL6929	-7.12416
ORTHOMCL6992	-7.12416
ORTHOMCL6997	-7.12416
ORTHOMCL7012	-7.12416
ORTHOMCL7019	-7.12416
ORTHOMCL7049	-7.12416
ORTHOMCL7056	-7.12416
ORTHOMCL7125	-7.12416
ORTHOMCL7131	-7.12416
ORTHOMCL7172	-7.12416
ORTHOMCL7228	-7.12416
ORTHOMCL7295	-7.12416
ORTHOMCL7348	-11.1251
ORTHOMCL7356	-7.12416
ORTHOMCL7528	-7.12416
ORTHOMCL7588	-7.12416
ORTHOMCL7695	-11.3713
ORTHOMCL7704	-7.12416
ORTHOMCL7712	-7.12416
ORTHOMCL7807	-7.12416
ORTHOMCL7817	-7.12416
ORTHOMCL7829	-7.12416
