#FamilyID	pvalue	Significant at 0.05
ORTHOMCL1	0.057	n
ORTHOMCL9	0.97	n
ORTHOMCL15	0.001	y
ORTHOMCL21	0.144	n
ORTHOMCL36	0.415	n
ORTHOMCL44	0	y
ORTHOMCL49	0	y
ORTHOMCL60	0.889	n
ORTHOMCL188	0	y
ORTHOMCL213	0.004	y
ORTHOMCL226	0.096	n
ORTHOMCL233	0.616	n
ORTHOMCL237	0.004	y
ORTHOMCL327	0	y
ORTHOMCL394	0.947	n
ORTHOMCL462	0.013	y
ORTHOMCL499	0.018	y
ORTHOMCL500	0.006	y
ORTHOMCL559	0.001	y
ORTHOMCL595	0.417	n
ORTHOMCL607	0.006	y
ORTHOMCL638	0.005	y
ORTHOMCL680	0	y
ORTHOMCL684	0.01	y
ORTHOMCL694	0	y
ORTHOMCL715	0	y
ORTHOMCL734	0.003	y
ORTHOMCL780	0.013	y
ORTHOMCL802	0.148	n
ORTHOMCL880	0	y
ORTHOMCL882	0.209	n
ORTHOMCL887	0.007	y
ORTHOMCL890	0.319	n
ORTHOMCL921	0.02	y
ORTHOMCL935	0	y
ORTHOMCL953	0.341	n
ORTHOMCL970	0.028	y
ORTHOMCL993	0.02	y
ORTHOMCL1018	0.151	n
ORTHOMCL1026	0.529	n
ORTHOMCL1071	0.088	n
ORTHOMCL1089	0.062	n
ORTHOMCL1129	0.023	y
ORTHOMCL1229	0.033	y
ORTHOMCL1236	0.417	n
ORTHOMCL1247	0.042	y
ORTHOMCL1256	0.242	n
ORTHOMCL1291	0.136	n
ORTHOMCL1294	0.056	n
ORTHOMCL1301	0.055	n
ORTHOMCL1362	0.192	n
ORTHOMCL1436	0.131	n
ORTHOMCL1440	0.136	n
ORTHOMCL1492	0.007	y
ORTHOMCL1506	0.163	n
ORTHOMCL1517	0.136	n
ORTHOMCL1590	0.058	n
ORTHOMCL1734	0.302	n
ORTHOMCL1802	0.173	n
ORTHOMCL1844	0.439	n
ORTHOMCL1855	0.032	y
ORTHOMCL1873	0.378	n
ORTHOMCL1904	0.323	n
ORTHOMCL1993	0.385	n
ORTHOMCL2050	0.202	n
ORTHOMCL2075	0.081	n
ORTHOMCL2076	0.267	n
ORTHOMCL2084	0.013	y
ORTHOMCL2150	0.302	n
ORTHOMCL2167	0.385	n
ORTHOMCL2212	0.306	n
ORTHOMCL2323	0.604	n
ORTHOMCL2359	0.722	n
ORTHOMCL2367	0.313	n
ORTHOMCL2440	0.182	n
ORTHOMCL2506	0.182	n
ORTHOMCL2596	0.306	n
ORTHOMCL2644	0.283	n
ORTHOMCL2649	0.337	n
ORTHOMCL2698	0.208	n
ORTHOMCL2702	0.515	n
ORTHOMCL2719	0.512	n
ORTHOMCL2722	0.499	n
ORTHOMCL2742	0.631	n
ORTHOMCL2768	0.722	n
ORTHOMCL2820	0.434	n
ORTHOMCL2860	0.283	n
ORTHOMCL2875	0.631	n
ORTHOMCL2879	0.515	n
ORTHOMCL2907	0.515	n
ORTHOMCL2960	0.434	n
ORTHOMCL2961	0.515	n
ORTHOMCL2985	0.003	y
ORTHOMCL3063	0.546	n
ORTHOMCL3115	0.655	n
ORTHOMCL3144	0.546	n
ORTHOMCL3197	0.764	n
ORTHOMCL3237	0.255	n
ORTHOMCL3260	0.8	n
ORTHOMCL3280	0.764	n
ORTHOMCL3357	0.546	n
ORTHOMCL3361	0.693	n
ORTHOMCL3366	0.597	n
ORTHOMCL3410	0.8	n
ORTHOMCL3446	0.693	n
ORTHOMCL3490	0.693	n
ORTHOMCL3556	0.546	n
ORTHOMCL3613	0.655	n
ORTHOMCL3619	0.597	n
ORTHOMCL3648	0.102	n
ORTHOMCL3651	0.764	n
ORTHOMCL3656	0.718	n
ORTHOMCL3761	0.693	n
ORTHOMCL3763	0.8	n
ORTHOMCL3939	0.764	n
ORTHOMCL3972	0.764	n
ORTHOMCL4002	0.546	n
ORTHOMCL4003	0.8	n
ORTHOMCL4131	0.693	n
ORTHOMCL4135	0.546	n
ORTHOMCL4139	0.693	n
ORTHOMCL4147	0.764	n
ORTHOMCL4165	0.546	n
ORTHOMCL4219	0.718	n
ORTHOMCL4232	0.423	n
ORTHOMCL4233	0.742	n
ORTHOMCL4246	0.764	n
ORTHOMCL4309	0.693	n
ORTHOMCL4334	0.764	n
ORTHOMCL4336	0.546	n
ORTHOMCL4359	0.655	n
ORTHOMCL4376	0.742	n
ORTHOMCL4441	0.999	n
ORTHOMCL4449	0.999	n
ORTHOMCL4484	0.999	n
ORTHOMCL4596	0.999	n
ORTHOMCL4610	0.999	n
ORTHOMCL4616	0.999	n
ORTHOMCL4627	0.999	n
ORTHOMCL4700	0.999	n
ORTHOMCL4722	0.999	n
ORTHOMCL4740	0.999	n
ORTHOMCL4857	0.099	n
ORTHOMCL4870	0.999	n
ORTHOMCL4874	0.999	n
ORTHOMCL4923	0.999	n
ORTHOMCL4943	0.999	n
ORTHOMCL4960	0.999	n
ORTHOMCL4973	0.999	n
ORTHOMCL4977	0.999	n
ORTHOMCL5155	0.999	n
ORTHOMCL5189	0.999	n
ORTHOMCL5241	0.999	n
ORTHOMCL5281	0.999	n
ORTHOMCL5295	0.999	n
ORTHOMCL5322	0.999	n
ORTHOMCL5334	0.999	n
ORTHOMCL5489	0.999	n
ORTHOMCL5549	0.999	n
ORTHOMCL5676	0.999	n
ORTHOMCL5682	0.999	n
ORTHOMCL5684	0.999	n
ORTHOMCL5783	0.999	n
ORTHOMCL5828	0.999	n
ORTHOMCL5856	0.999	n
ORTHOMCL5858	0.999	n
ORTHOMCL5869	0.999	n
ORTHOMCL5887	0.999	n
ORTHOMCL5912	0.999	n
ORTHOMCL5953	0.999	n
ORTHOMCL5983	0.999	n
ORTHOMCL6017	0.999	n
ORTHOMCL6025	0.999	n
ORTHOMCL6083	0.999	n
ORTHOMCL6111	0.999	n
ORTHOMCL6256	0.999	n
ORTHOMCL6260	0.999	n
ORTHOMCL6342	0.999	n
ORTHOMCL6371	0.999	n
ORTHOMCL6389	0.482	n
ORTHOMCL6411	0.999	n
ORTHOMCL6456	0.999	n
ORTHOMCL6504	0.999	n
ORTHOMCL6506	0.999	n
ORTHOMCL6514	0.999	n
ORTHOMCL6520	0.999	n
ORTHOMCL6552	0.999	n
ORTHOMCL6562	0.999	n
ORTHOMCL6624	0.414	n
ORTHOMCL6627	0.181	n
ORTHOMCL6668	0.999	n
ORTHOMCL6691	0.999	n
ORTHOMCL6703	0.999	n
ORTHOMCL6739	0.999	n
ORTHOMCL6927	0.999	n
ORTHOMCL6929	0.999	n
ORTHOMCL6992	0.999	n
ORTHOMCL6997	0.999	n
ORTHOMCL7012	0.999	n
ORTHOMCL7019	0.999	n
ORTHOMCL7049	0.999	n
ORTHOMCL7056	0.999	n
ORTHOMCL7125	0.999	n
ORTHOMCL7131	0.999	n
ORTHOMCL7172	0.999	n
ORTHOMCL7228	0.999	n
ORTHOMCL7295	0.999	n
ORTHOMCL7348	0.533	n
ORTHOMCL7356	0.999	n
ORTHOMCL7528	0.999	n
ORTHOMCL7588	0.999	n
ORTHOMCL7695	0.5	n
ORTHOMCL7704	0.999	n
ORTHOMCL7712	0.999	n
ORTHOMCL7807	0.999	n
ORTHOMCL7817	0.999	n
ORTHOMCL7829	0.999	n
ORTHOMCL7962	0.67	n
ORTHOMCL8024	0.542	n
ORTHOMCL8216	0.862	n
ORTHOMCL8284	0.862	n
ORTHOMCL8293	0.862	n
ORTHOMCL8479	0.423	n
ORTHOMCL8605	0.328	n
ORTHOMCL8790	0.344	n
ORTHOMCL8926	0.313	n
