#FamilyID	pvalue	Significant at 0.05
ORTHOMCL15	0.001	y
ORTHOMCL44	0	y
ORTHOMCL49	0	y
ORTHOMCL188	0	y
ORTHOMCL213	0.004	y
ORTHOMCL237	0.004	y
ORTHOMCL327	0	y
ORTHOMCL462	0.013	y
ORTHOMCL499	0.018	y
ORTHOMCL500	0.006	y
ORTHOMCL559	0.001	y
ORTHOMCL607	0.006	y
ORTHOMCL638	0.005	y
ORTHOMCL680	0	y
ORTHOMCL684	0.01	y
ORTHOMCL694	0	y
ORTHOMCL715	0	y
ORTHOMCL734	0.003	y
ORTHOMCL780	0.013	y
ORTHOMCL880	0	y
ORTHOMCL887	0.007	y
ORTHOMCL921	0.02	y
ORTHOMCL935	0	y
ORTHOMCL970	0.028	y
ORTHOMCL993	0.02	y
ORTHOMCL1129	0.023	y
ORTHOMCL1229	0.033	y
ORTHOMCL1247	0.042	y
ORTHOMCL1492	0.007	y
ORTHOMCL1855	0.032	y
ORTHOMCL2084	0.013	y
ORTHOMCL2985	0.003	y
