#FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>	
ORTHOMCL14	0.000422351	0.609436	0.00238392	0.59678	0.147592	0.0439116	0.658084	0.612791	0.559592	0.766085	0.587565	0.0314523	0.536684	0.34529	0.547676	0.832081	0.000193968	0.233436	0.536431	0.536431	N/A
ORTHOMCL30	0.567661	0.00353223	0.0975768	0.0372288	0.659478	0.335563	0.615686	0.580091	0.541	0.0483775	0.561227	0.295036	0.486329	0.297097	0.532586	0.00260236	0.714617	0.610868	0.524749	0.524749	N/A
ORTHOMCL48	0.102153	0.567661	0.0975768	4.26691e-11	0.659478	0.00502576	0.615686	0.580091	0.0162178	0.269219	0.547049	0.238778	0.41927	0.658172	0.524749	0.749017	0.271693	0.587085	0.518739	0.518739	N/A
ORTHOMCL53	0.567661	0.0369985	0.517477	0.518477	0.659478	0.00165142	0.00011404	0.580091	0.0760888	0.00827687	0.57472	0.720541	0.00139223	0.721877	0.540227	0.812452	0.743958	0.632476	0.530646	0.530646	N/A
ORTHOMCL69	0.00019597	1.23791e-05	0.517477	0.518477	0.592018	0.201444	0.09576	0.542746	6.99981e-06	0.0691117	0.57472	0.0537264	0.0107437	0.693037	0.540227	0.812452	0.183917	0.202181	0.530646	0.530646	N/A
ORTHOMCL95	0.567661	8.32039e-05	0.0510712	0.535936	0.00621721	0.201444	0.563814	0.542746	0.521167	0.19678	0.532146	0.172479	0.134343	0.129348	0.000223448	0.785935	0.0493771	0.610868	0.524749	0.524749	N/A
ORTHOMCL100	3.64652e-05	0.552135	0.534044	0.535936	0.628304	0.680188	0.137501	0.562044	0.531245	0.1129	0.547049	0.657002	0.41927	0.658172	0.524749	0.749017	0.271693	0.587085	0.518739	0.518739	N/A
ORTHOMCL119	0.0369985	0.567661	0.534044	0.0186446	0.00621721	0.633994	0.563814	0.542746	0.521167	0.630909	0.532146	0.614808	0.716159	0.615759	0.51671	0.00322904	0.632234	0.560874	0.512612	0.512612	N/A
ORTHOMCL120	0.567661	0.00353223	0.0510712	0.535936	0.0759538	0.0116708	0.137501	0.562044	0.531245	0.1129	0.547049	0.00796832	0.326893	0.173912	0.524749	0.183387	0.00226083	0.131431	0.518739	0.518739	N/A
ORTHOMCL126	0.518363	0.518363	0.517477	0.518477	0.549642	0.575269	0.533579	0.5221	0.000184991	2.03133e-07	0.547049	0.00796832	0.041194	0.658172	0.524749	0.183387	0.000205001	0.587085	0.518739	0.518739	N/A
