FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>
ORTHOMCL14	+3	+0	-2	+0	+1	-2	+0	+0	+0	+0	+0	-2	-1	-1	+0	+0	+5	-1	+0	+0	+0
ORTHOMCL30	+0	+2	-1	+1	+0	-1	+0	+0	+0	+2	+0	-1	-1	-1	+0	+4	+0	+0	+0	+0	+0
ORTHOMCL48	-1	+0	-1	+7	+0	+3	+0	+0	+1	-1	+0	-1	-1	+0	+0	+0	-1	+0	+0	+0	+0
ORTHOMCL53	+0	+1	+0	+0	+0	-3	-3	+0	-1	+3	+0	+0	-4	+0	+0	+0	+0	+0	+0	+0	+0
ORTHOMCL69	-2	+3	+0	+0	+0	-1	-1	+0	-3	+2	+0	+2	-3	+0	+0	+0	+1	-1	+0	+0	+0
ORTHOMCL91	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
ORTHOMCL95	+0	+3	-1	+0	+2	-1	+0	+0	+0	-1	+0	-1	-2	+1	-2	+0	+2	+0	+0	+0	+0
ORTHOMCL100	+3	+0	+0	+0	+0	+0	-1	+0	+0	+1	+0	+0	-1	+0	+0	+0	-1	+0	+0	+0	+0
ORTHOMCL118	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	-1	+0	+0	+0	+0
ORTHOMCL119	+1	+0	+0	+1	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0	+0	+0	+0	+0
ORTHOMCL120	+0	+2	-1	+0	+1	-2	-1	+0	+0	+1	+0	-2	-1	-1	+0	+1	+3	-1	+0	+0	+0
ORTHOMCL126	+0	+0	+0	+0	+0	+0	+0	+0	-2	+7	+0	-2	-2	+0	+0	+1	+4	+0	+0	+0	+0
ORTHOMCL131	+0	+0	+0	+0	+5	-1	-1	+0	+0	+0	+0	-1	+0	+0	+0	-1	+6	-1	+0	+0	+0
ORTHOMCL138	+0	+0	+0	+2	+3	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
ORTHOMCL158	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+1	+0	+0	+0	+0	+0	+0
ORTHOMCL168	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+3	+1	+0	+0	+0	+0
ORTHOMCL171	+0	+0	-2	+0	+0	-2	+0	+0	+0	+1	+0	+3	+0	-1	+0	-2	+0	-1	+0	+0	+0
ORTHOMCL172	+0	+1	-1	+0	+1	-2	-1	+0	+0	+1	+0	+1	-1	+0	+0	-2	+0	-1	+0	+0	+0
ORTHOMCL173	+6	-1	-1	+0	+0	-1	+0	+0	+0	+1	+0	-1	+0	+0	+0	+6	+0	+0	+0	-1	+0
ORTHOMCL174	+1	+0	-1	+0	+1	-1	+0	+0	+0	+0	-1	+0	-2	+0	+0	+0	+2	+0	+0	+0	+0
ORTHOMCL175	+0	+2	+0	+0	+2	-1	+0	+0	+0	+1	+0	-1	-1	+1	+0	+1	+0	+0	+0	+0	+0
ORTHOMCL177	+0	+1	-1	+0	+1	-1	+0	+0	+0	+0	+0	+0	-1	+4	+0	+2	-1	+0	+0	+0	+0
ORTHOMCL179	+1	+0	+0	+1	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+2	+2	+0	+0	+0	+0
ORTHOMCL195	+1	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+1	+0	+0	+0	+0
ORTHOMCL207	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+1	+0	+0	+4	+0	+0	+0	+0
ORTHOMCL212	+0	+1	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0
ORTHOMCL218	+2	+0	-2	+0	+0	-2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	-1	-1	+0	-1	+0
ORTHOMCL227	+0	+2	+0	+1	+2	-1	+1	+0	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+0	+0	+0
ORTHOMCL229	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	-2	+0	+0	-1	+1	+0	+0	+0	+0
ORTHOMCL241	+0	+0	-1	+3	+0	-1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+3	+0	-1	+0	+0	+0
ORTHOMCL245	+0	+2	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	-1	+0	+0	-1	+0	+0	+0	+0
ORTHOMCL248	+0	+1	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	-1	+0	+0	+0	+2	+0	+0	+0	+0
ORTHOMCL268	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0	+0	+0	+0	+0
ORTHOMCL269	+0	+0	+0	+0	+1	+0	+0	+0	+0	+1	+0	+0	-1	+0	+0	+0	+1	+0	+0	+0	+0
ORTHOMCL289	+0	+0	-1	+1	+0	+0	+0	-1	+0	+2	+0	+4	-1	+0	+0	+0	+0	+0	+0	+0	+0
ORTHOMCL305	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0
ORTHOMCL309	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0
ORTHOMCL311	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0
ORTHOMCL314	+0	+0	+0	+0	+0	+0	-1	+0	+0	-1	+0	-1	+2	+0	+0	+2	+0	+1	+0	+0	+0
ORTHOMCL318	+0	+3	+0	+0	+3	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+3	+0	+0	+0	+0	+0
ORTHOMCL319	+0	+1	+0	+0	+2	+0	+0	+0	+0	+4	+0	+0	+0	+0	+0	+4	+0	+0	+0	+0	+0
