FamilyID	Bimp<0>	Bter<1>	Amel<2>	Aflo<3>	<4>	Mqua<5>	<6>	<7>	<8>	Emex<9>	<10>	Hlab<11>	Lalb<12>	Dnov<13>	<14>	Ccal<15>	Mrot<16>	<17>	<18>	<19>	<20>
ORTHOMCL14	10	7	4	6	7	4	6	6	6	6	6	4	4	4	6	6	11	5	6	6	6
ORTHOMCL30	4	6	3	5	4	3	4	4	4	6	4	3	3	3	4	8	4	4	4	4	4
ORTHOMCL48	3	4	3	11	4	7	4	4	4	2	3	2	2	3	3	3	2	3	3	3	3
ORTHOMCL53	4	5	1	1	4	1	1	4	4	8	5	5	1	5	5	5	5	5	5	5	5
ORTHOMCL69	0	5	1	1	2	1	1	2	2	7	5	7	1	4	5	5	6	4	5	5	5
ORTHOMCL91	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3
ORTHOMCL95	4	7	1	2	4	1	2	2	2	1	2	1	2	5	2	4	6	4	4	4	4
ORTHOMCL100	6	3	2	2	3	3	2	3	3	4	3	3	2	3	3	3	2	3	3	3	3
ORTHOMCL118	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	2	3	3	3	3
ORTHOMCL119	5	4	2	3	4	2	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2
ORTHOMCL120	4	6	1	2	4	1	2	3	3	4	3	1	1	1	3	4	6	2	3	3	3
ORTHOMCL126	1	1	1	1	1	1	1	1	1	10	3	1	1	3	3	4	7	3	3	3	3
ORTHOMCL131	7	7	1	1	7	1	1	2	2	2	2	1	1	1	2	1	8	1	2	2	2
ORTHOMCL138	5	5	2	4	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ORTHOMCL158	3	3	3	2	3	3	3	3	3	3	3	4	2	2	3	2	2	2	2	2	2
ORTHOMCL168	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	5	3	2	2	2	2
ORTHOMCL171	3	3	1	3	3	1	3	3	3	4	3	6	2	1	3	1	3	2	3	3	3
ORTHOMCL172	4	5	1	2	4	1	2	3	3	4	3	4	1	2	3	1	3	2	3	3	3
ORTHOMCL173	8	1	1	2	2	1	2	2	2	3	2	1	1	1	2	8	1	1	2	1	2
ORTHOMCL174	4	3	1	2	3	1	2	2	2	2	2	3	1	3	3	3	5	3	3	3	3
