#FamilyID	Likelihood of Family
ORTHOMCL14	-41.1043
ORTHOMCL30	-32.6558
ORTHOMCL48	-50.2029
ORTHOMCL53	-40.0975
ORTHOMCL69	-55.0166
ORTHOMCL91	-11.5516
ORTHOMCL95	-44.6807
ORTHOMCL100	-24.6857
ORTHOMCL118	-12.0096
ORTHOMCL119	-23.7921
ORTHOMCL120	-42.3678
ORTHOMCL126	-45.6923
ORTHOMCL131	-44.0477
ORTHOMCL138	-22.3596
ORTHOMCL158	-17.4307
ORTHOMCL168	-19.2036
ORTHOMCL171	-33.7982
ORTHOMCL172	-31.6745
ORTHOMCL173	-55.5484
ORTHOMCL174	-27.5346
ORTHOMCL175	-28.7294
ORTHOMCL177	-33.3121
ORTHOMCL179	-23.7073
ORTHOMCL195	-21.6312
ORTHOMCL207	-19.8098
ORTHOMCL212	-16.8525
ORTHOMCL218	-33.5915
ORTHOMCL227	-31.1403
ORTHOMCL229	-19.6665
ORTHOMCL241	-32.4954
ORTHOMCL245	-20.8442
ORTHOMCL248	-18.5709
ORTHOMCL268	-13.4135
ORTHOMCL269	-15.4959
ORTHOMCL289	-31.4057
ORTHOMCL305	-11.6275
ORTHOMCL309	-12.9456
ORTHOMCL311	-11.6275
ORTHOMCL314	-22.3194
ORTHOMCL318	-33.2131
ORTHOMCL319	-33.7472
ORTHOMCL328	-31.4785
ORTHOMCL331	-31.2911
ORTHOMCL338	-25.3407
ORTHOMCL351	-12.545
ORTHOMCL358	-29.5871
ORTHOMCL365	-29.126
ORTHOMCL368	-24.9478
ORTHOMCL375	-11.7867
ORTHOMCL382	-36.0835
ORTHOMCL386	-15.0193
ORTHOMCL387	-25.8764
ORTHOMCL391	-17.0044
ORTHOMCL406	-28.2662
ORTHOMCL427	-29.5981
ORTHOMCL435	-25.5216
ORTHOMCL438	-30.2021
ORTHOMCL439	-8.55846
ORTHOMCL445	-29.7691
ORTHOMCL453	-12.1562
ORTHOMCL463	-20.5805
ORTHOMCL464	-31.3405
ORTHOMCL469	-13.2261
ORTHOMCL473	-25.303
ORTHOMCL474	-13.622
ORTHOMCL475	-26.3397
ORTHOMCL488	-8.55846
ORTHOMCL493	-28.3818
ORTHOMCL497	-26.953
ORTHOMCL501	-10.9318
ORTHOMCL516	-11.8288
ORTHOMCL520	-29.403
ORTHOMCL535	-9.70806
ORTHOMCL566	-29.2398
ORTHOMCL570	-17.338
ORTHOMCL572	-35.9779
ORTHOMCL578	-29.6984
ORTHOMCL580	-25.4704
ORTHOMCL582	-26.1719
ORTHOMCL583	-22.6284
ORTHOMCL585	-9.53442
ORTHOMCL601	-30.1692
ORTHOMCL603	-34.9178
ORTHOMCL611	-28.0192
ORTHOMCL613	-14.3674
ORTHOMCL617	-28.9714
ORTHOMCL620	-18.72
ORTHOMCL624	-24.0709
ORTHOMCL628	-18.0225
ORTHOMCL644	-25.3435
ORTHOMCL645	-21.0943
ORTHOMCL648	-29.6831
ORTHOMCL651	-25.7806
ORTHOMCL657	-30.927
ORTHOMCL673	-28.3218
ORTHOMCL679	-23.3263
ORTHOMCL706	-21.3693
ORTHOMCL709	-21.8409
ORTHOMCL711	-26.5902
ORTHOMCL722	-34.0545
ORTHOMCL731	-22.7065
ORTHOMCL752	-31.5622
ORTHOMCL755	-21.3693
ORTHOMCL756	-23.3918
ORTHOMCL761	-17.8663
ORTHOMCL766	-23.5748
ORTHOMCL777	-23.0439
ORTHOMCL778	-21.3693
ORTHOMCL791	-21.4821
ORTHOMCL804	-31.3831
ORTHOMCL807	-23.9754
ORTHOMCL810	-26.1214
ORTHOMCL812	-13.6652
ORTHOMCL836	-25.7199
ORTHOMCL838	-20.8933
ORTHOMCL846	-26.158
ORTHOMCL848	-11.9668
ORTHOMCL864	-18.5993
ORTHOMCL866	-22.93
ORTHOMCL873	-24.7614
ORTHOMCL874	-25.0082
ORTHOMCL886	-18.3746
ORTHOMCL889	-19.2193
ORTHOMCL892	-13.6166
ORTHOMCL901	-24.9023
ORTHOMCL902	-19.0345
ORTHOMCL907	-30.0603
ORTHOMCL920	-18.2537
ORTHOMCL924	-27.5136
ORTHOMCL940	-24.7611
ORTHOMCL943	-17.3118
ORTHOMCL948	-15.4572
ORTHOMCL950	-22.2335
ORTHOMCL955	-24.7392
ORTHOMCL961	-16.9639
ORTHOMCL973	-16.1083
ORTHOMCL979	-20.8585
ORTHOMCL985	-15.7766
ORTHOMCL986	-16.5448
ORTHOMCL991	-15.7766
ORTHOMCL997	-17.2602
ORTHOMCL1003	-18.698
ORTHOMCL1004	-19.1492
ORTHOMCL1005	-20.8354
ORTHOMCL1007	-21.2565
ORTHOMCL1012	-15.7766
ORTHOMCL1013	-20.2658
ORTHOMCL1016	-17.6298
ORTHOMCL1023	-19.4238
ORTHOMCL1027	-15.7035
ORTHOMCL1036	-18.0934
ORTHOMCL1044	-31.6094
