#FamilyID	pvalue	Significant at 0.05
ORTHOMCL14	0	y
ORTHOMCL30	0.001	y
ORTHOMCL48	0	y
ORTHOMCL53	0	y
ORTHOMCL69	0	y
ORTHOMCL91	0.969	n
ORTHOMCL95	0	y
ORTHOMCL100	0.022	y
ORTHOMCL118	0.942	n
ORTHOMCL119	0.011	y
ORTHOMCL120	0	y
ORTHOMCL126	0	y
ORTHOMCL131	0	y
ORTHOMCL138	0.012	y
ORTHOMCL158	0.375	n
ORTHOMCL168	0.152	n
ORTHOMCL171	0	y
ORTHOMCL172	0	y
ORTHOMCL173	0	y
ORTHOMCL174	0.003	y
ORTHOMCL175	0	y
ORTHOMCL177	0	y
ORTHOMCL179	0.025	y
ORTHOMCL195	0.043	y
ORTHOMCL207	0.15	n
ORTHOMCL212	0.238	n
ORTHOMCL218	0	y
ORTHOMCL227	0	y
ORTHOMCL229	0.177	n
ORTHOMCL241	0	y
ORTHOMCL245	0.037	y
ORTHOMCL248	0.133	n
ORTHOMCL268	0.614	n
ORTHOMCL269	0.35	n
ORTHOMCL289	0	y
ORTHOMCL305	0.795	n
ORTHOMCL309	0.656	n
ORTHOMCL311	0.795	n
ORTHOMCL314	0.042	y
ORTHOMCL318	0	y
ORTHOMCL319	0	y
ORTHOMCL328	0	y
ORTHOMCL331	0	y
ORTHOMCL338	0.003	y
ORTHOMCL351	0.705	n
ORTHOMCL358	0	y
ORTHOMCL365	0	y
ORTHOMCL368	0.002	y
ORTHOMCL375	0.773	n
ORTHOMCL382	0	y
ORTHOMCL386	0.441	n
ORTHOMCL387	0	y
ORTHOMCL391	0.222	n
ORTHOMCL406	0	y
ORTHOMCL427	0	y
ORTHOMCL435	0.001	y
ORTHOMCL438	0	y
ORTHOMCL439	0.999	n
ORTHOMCL445	0	y
ORTHOMCL453	0.745	n
ORTHOMCL463	0.044	y
ORTHOMCL464	0	y
ORTHOMCL469	0.634	n
ORTHOMCL473	0.015	y
ORTHOMCL474	0.578	n
ORTHOMCL475	0	y
ORTHOMCL488	0.999	n
ORTHOMCL493	0	y
ORTHOMCL497	0	y
ORTHOMCL501	0.877	n
ORTHOMCL516	0.771	n
ORTHOMCL520	0	y
ORTHOMCL535	0.956	n
ORTHOMCL566	0	y
ORTHOMCL570	0.197	n
ORTHOMCL572	0	y
ORTHOMCL578	0	y
ORTHOMCL580	0.005	y
ORTHOMCL582	0	y
ORTHOMCL583	0.012	y
ORTHOMCL585	0.97	n
ORTHOMCL601	0	y
ORTHOMCL603	0	y
ORTHOMCL611	0	y
ORTHOMCL613	0.483	n
ORTHOMCL617	0	y
ORTHOMCL620	0.121	n
ORTHOMCL624	0.009	y
ORTHOMCL628	0.155	n
ORTHOMCL644	0.001	y
ORTHOMCL645	0.009	y
ORTHOMCL648	0	y
ORTHOMCL651	0.001	y
ORTHOMCL657	0	y
ORTHOMCL673	0	y
ORTHOMCL679	0.004	y
ORTHOMCL706	0.006	y
ORTHOMCL709	0.042	y
ORTHOMCL711	0	y
ORTHOMCL722	0	y
ORTHOMCL731	0.004	y
ORTHOMCL752	0	y
ORTHOMCL755	0.006	y
ORTHOMCL756	0.005	y
