#FamilyID	pvalue	Significant at 0.05
ORTHOMCL14	0	y
ORTHOMCL30	0.001	y
ORTHOMCL48	0	y
ORTHOMCL53	0	y
ORTHOMCL69	0	y
ORTHOMCL95	0	y
ORTHOMCL100	0.022	y
ORTHOMCL119	0.011	y
ORTHOMCL120	0	y
ORTHOMCL126	0	y
ORTHOMCL131	0	y
ORTHOMCL138	0.012	y
ORTHOMCL171	0	y
ORTHOMCL172	0	y
ORTHOMCL173	0	y
ORTHOMCL174	0.003	y
ORTHOMCL175	0	y
ORTHOMCL177	0	y
ORTHOMCL179	0.025	y
ORTHOMCL195	0.043	y
ORTHOMCL218	0	y
ORTHOMCL227	0	y
ORTHOMCL241	0	y
ORTHOMCL245	0.037	y
ORTHOMCL289	0	y
ORTHOMCL314	0.042	y
ORTHOMCL318	0	y
ORTHOMCL319	0	y
ORTHOMCL328	0	y
ORTHOMCL331	0	y
ORTHOMCL338	0.003	y
ORTHOMCL358	0	y
ORTHOMCL365	0	y
ORTHOMCL368	0.002	y
ORTHOMCL382	0	y
ORTHOMCL387	0	y
ORTHOMCL406	0	y
ORTHOMCL427	0	y
ORTHOMCL435	0.001	y
ORTHOMCL438	0	y
ORTHOMCL445	0	y
ORTHOMCL463	0.044	y
ORTHOMCL464	0	y
ORTHOMCL473	0.015	y
ORTHOMCL475	0	y
ORTHOMCL493	0	y
ORTHOMCL497	0	y
ORTHOMCL520	0	y
ORTHOMCL566	0	y
ORTHOMCL572	0	y
ORTHOMCL578	0	y
ORTHOMCL580	0.005	y
ORTHOMCL582	0	y
ORTHOMCL583	0.012	y
ORTHOMCL601	0	y
ORTHOMCL603	0	y
ORTHOMCL611	0	y
ORTHOMCL617	0	y
ORTHOMCL624	0.009	y
ORTHOMCL644	0.001	y
ORTHOMCL645	0.009	y
ORTHOMCL648	0	y
ORTHOMCL651	0.001	y
ORTHOMCL657	0	y
ORTHOMCL673	0	y
ORTHOMCL679	0.004	y
ORTHOMCL706	0.006	y
ORTHOMCL709	0.042	y
ORTHOMCL711	0	y
ORTHOMCL722	0	y
ORTHOMCL731	0.004	y
ORTHOMCL752	0	y
ORTHOMCL755	0.006	y
ORTHOMCL756	0.005	y
ORTHOMCL766	0.004	y
ORTHOMCL777	0.004	y
ORTHOMCL778	0.006	y
ORTHOMCL791	0.024	y
ORTHOMCL804	0	y
ORTHOMCL807	0.003	y
ORTHOMCL810	0	y
ORTHOMCL836	0	y
ORTHOMCL838	0.036	y
ORTHOMCL846	0	y
ORTHOMCL866	0.004	y
ORTHOMCL873	0.001	y
ORTHOMCL874	0.002	y
ORTHOMCL886	0.028	y
ORTHOMCL901	0.002	y
ORTHOMCL902	0.024	y
ORTHOMCL907	0	y
ORTHOMCL920	0.029	y
ORTHOMCL924	0	y
ORTHOMCL940	0.002	y
ORTHOMCL950	0.004	y
ORTHOMCL955	0.001	y
ORTHOMCL979	0.037	y
ORTHOMCL1005	0.037	y
ORTHOMCL1007	0.029	y
ORTHOMCL1044	0	y
ORTHOMCL1047	0.005	y
ORTHOMCL1067	0.022	y
ORTHOMCL1078	0.026	y
ORTHOMCL1166	0.043	y
ORTHOMCL1188	0.011	y
ORTHOMCL1209	0.018	y
ORTHOMCL1218	0.001	y
ORTHOMCL1227	0.041	y
ORTHOMCL1270	0.003	y
ORTHOMCL1282	0.049	y
ORTHOMCL1286	0.001	y
ORTHOMCL1292	0.018	y
ORTHOMCL1311	0.021	y
ORTHOMCL1323	0	y
ORTHOMCL1337	0.01	y
ORTHOMCL1346	0	y
ORTHOMCL1356	0.007	y
ORTHOMCL1365	0.038	y
ORTHOMCL1371	0.027	y
ORTHOMCL1396	0.027	y
ORTHOMCL1404	0.018	y
ORTHOMCL1410	0.038	y
ORTHOMCL1435	0.042	y
ORTHOMCL1442	0.02	y
ORTHOMCL1465	0.029	y
ORTHOMCL1469	0.032	y
ORTHOMCL1471	0.006	y
ORTHOMCL1475	0.012	y
ORTHOMCL1483	0.018	y
ORTHOMCL1561	0.042	y
ORTHOMCL1599	0.027	y
ORTHOMCL1605	0.043	y
ORTHOMCL1712	0.004	y
ORTHOMCL1779	0.027	y
ORTHOMCL1810	0.002	y
ORTHOMCL1868	0.027	y
ORTHOMCL1938	0.044	y
ORTHOMCL1955	0.027	y
ORTHOMCL1980	0.029	y
ORTHOMCL2048	0.014	y
ORTHOMCL2971	0.027	y
ORTHOMCL2975	0.004	y
ORTHOMCL4221	0.048	y
ORTHOMCL9290	0.018	y
ORTHOMCL9297	0	y
ORTHOMCL9626	0.005	y
ORTHOMCL9656	0	y
ORTHOMCL9929	0.004	y
ORTHOMCL10448	0	y
