Family.ID	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
ORTHOMCL14	null	6	4	10	7	6	4	6	4	4	4	11
ORTHOMCL30	null	5	3	4	6	8	3	6	3	3	3	4
ORTHOMCL48	null	11	3	3	4	3	3	2	2	2	7	2
ORTHOMCL53	null	1	1	4	5	5	5	8	5	1	1	5
ORTHOMCL69	null	1	1	0	5	5	4	7	7	1	1	6
ORTHOMCL91	null	3	3	3	3	3	3	4	3	3	3	3
ORTHOMCL95	null	2	1	4	7	4	5	1	1	2	1	6
ORTHOMCL100	null	2	2	6	3	3	3	4	3	2	3	2
ORTHOMCL118	null	3	3	3	3	3	3	3	3	2	3	2
ORTHOMCL119	null	3	2	5	4	5	2	2	2	2	2	2
ORTHOMCL120	null	2	1	4	6	4	1	4	1	1	1	6
ORTHOMCL126	null	1	1	1	1	4	3	10	1	1	1	7
ORTHOMCL131	null	1	1	7	7	1	1	2	1	1	1	8
ORTHOMCL138	null	4	2	5	5	2	2	2	2	2	2	2
ORTHOMCL158	null	2	3	3	3	2	2	3	4	2	3	2
ORTHOMCL168	null	2	2	2	2	5	2	2	2	2	4	3
ORTHOMCL171	null	3	1	3	3	1	1	4	6	2	1	3
ORTHOMCL172	null	2	1	4	5	1	2	4	4	1	1	3
ORTHOMCL173	null	2	1	8	1	8	1	3	1	1	1	1
ORTHOMCL174	null	2	1	4	3	3	3	2	3	1	1	5
ORTHOMCL175	null	2	2	4	6	3	3	3	1	1	1	2
ORTHOMCL177	null	2	1	3	4	4	6	2	2	1	1	1
ORTHOMCL179	null	3	2	3	2	4	2	1	2	2	2	4
ORTHOMCL195	null	4	2	3	2	3	2	2	2	2	2	3
ORTHOMCL207	null	2	2	2	2	2	3	2	2	1	2	6
ORTHOMCL212	null	2	2	4	5	2	2	2	2	1	2	2
ORTHOMCL218	null	3	1	5	3	4	1	3	3	1	1	1
ORTHOMCL227	null	4	3	4	6	2	1	1	1	1	1	2
ORTHOMCL229	null	2	2	2	3	2	3	2	3	1	2	4
ORTHOMCL241	null	5	1	2	2	5	1	3	2	1	1	2
ORTHOMCL245	null	2	2	3	5	2	1	2	2	2	3	1
ORTHOMCL248	null	2	2	2	3	2	2	3	2	1	2	4
ORTHOMCL268	null	2	2	2	2	5	2	2	2	2	2	2
ORTHOMCL269	null	2	2	3	3	2	2	3	2	1	2	3
