	Canonical+	Canonical-	Non-Canonical+	Non-Canonical-	Background+	Background-	totUp	totDown	Sociality	node
Bimp<0>	12	-1	45	-9	341	-82	398	-92	Social	Bimp<0>
Bter<1>	16	-2	90	-7	609	-62	715	-71	Social	Bter<1>
Amel<2>	0	-8	7	-33	24	-166	31	-207	Eusocial	Amel<2>
Aflo<3>	20	0	73	-9	455	-75	548	-84	Eusocial	Aflo<3>
<4>	28	0	106	-3	562	-31	696	-34	Social	<4>
Mqua<5>	0	-20	12	-50	54	-299	66	-369	Eusocial	Mqua<5>
<6>	0	-7	5	-17	18	-92	23	-116	Eusocial	<6>
<7>	0	0	2	-5	14	-35	16	-40	Social	<7>
<8>	0	-1	1	-9	6	-12	7	-22	Social	<8>
Emex<9>	15	-1	87	-21	397	-173	499	-195	Social	Emex<9>
<10>	1	0	1	-5	20	-11	22	-16	Social	<10>
Hlab<11>	12	-5	47	-37	149	-251	208	-293	Solitary	Hlab<11>
Lalb<12>	1	-8	16	-37	79	-175	96	-220	Social	Lalb<12>
Dnov<13>	4	-3	27	-20	136	-129	167	-152	Solitary	Dnov<13>
<14>	1	0	0	-5	8	-16	9	-21	Solitary	<14>
Ccal<15>	25	-4	118	-25	778	-158	921	-187	Social	Ccal<15>
Mrot<16>	48	-7	131	-22	898	-154	1077	-183	Solitary	Mrot<16>
<17>	1	-6	1	-25	7	-151	9	-182	Solitary	<17>
<18>	1	-1	0	-1	1	-6	2	-8	Solitary	<18>
<19>	0	-2	0	-6	0	-12	0	-20	Solitary	<19>
<20>	0	0	0	0	0	0	0	0	Solitary	<20>
