	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot	GeneID	name	source	TranscriptID	Class
ORTHOMCL14	null	6	4	10	7	6	4	6	4	4	4	11	Gat-1B	NP_001011643.1	Amel	NM_001011643.1	NonCanon
ORTHOMCL30	null	5	3	4	6	8	3	6	3	3	3	4	Dnmt1a	NP_001164522.1	Amel	NM_001171051.1	NonCanon
ORTHOMCL48	null	11	3	3	4	3	3	2	2	2	7	2	Hbg3	NP_001011608.1	Amel	NM_001011608.1	NonCanon
ORTHOMCL53	null	1	1	4	5	5	5	8	5	1	1	5	LOC409670	XP_006561279.1	Amel	XM_006561216.3	NonCanon
ORTHOMCL69	null	1	1	0	5	5	4	7	7	1	1	6	LOC725439	XP_016768850.2	Amel	XM_016913361.2	NonCanon
ORTHOMCL91	null	3	3	3	3	3	3	4	3	3	3	3	LOC724471	XP_026302246.1	Amel	XM_026446461.1	NonCanon
ORTHOMCL95	null	2	1	4	7	4	5	1	1	2	1	6	CYP6AQ1	NP_001191991.1	Amel	NM_001205062.1	NonCanon
ORTHOMCL100	null	2	2	6	3	3	3	4	3	2	3	2	LOC406081	NP_001011574.1	Amel	NM_001011574.1	NonCanon
ORTHOMCL118	null	3	3	3	3	3	3	3	3	2	3	2	LOC413247	XP_016768436.1	Amel	XM_016912947.2	NonCanon
ORTHOMCL119	null	3	2	5	4	5	2	2	2	2	2	2	LOC411935	XP_395404.2	Amel	XM_395404.7	NonCanon
ORTHOMCL120	null	2	1	4	6	4	1	4	1	1	1	6	LOC413699	XP_397140.4	Amel	XM_397140.7	NonCanon
ORTHOMCL126	null	1	1	1	1	4	3	10	1	1	1	7	FAR1	NP_001180219.1	Amel	NM_001193290.1	NonCanon
ORTHOMCL131	null	1	1	7	7	1	1	2	1	1	1	8	LOC552488	XP_016771045.1	Amel	XM_016915556.2	NonCanon
ORTHOMCL138	null	4	2	5	5	2	2	2	2	2	2	2	LOC409265	XP_392786.2	Amel	XM_392786.7	NonCanon
ORTHOMCL158	null	2	3	3	3	2	2	3	4	2	3	2	HEX70b	NP_001011600.1	Amel	NM_001011600.1	NonCanon
ORTHOMCL168	null	2	2	2	2	5	2	2	2	2	4	3	LOC552658	XP_625037.1	Amel	XM_625034.5	NonCanon
ORTHOMCL171	null	3	1	3	3	1	1	4	6	2	1	3	LOC726061	XP_006571340.1	Amel	XM_006571277.3	NonCanon
ORTHOMCL172	null	2	1	4	5	1	2	4	4	1	1	3	LOC408979	XP_392511.2	Amel	XM_392511.7	NonCanon
ORTHOMCL173	null	2	1	8	1	8	1	3	1	1	1	1	LOC107965749	XP_026296160.1	Amel	XM_026440375.1	NonCanon
ORTHOMCL174	null	2	1	4	3	3	3	2	3	1	1	5	LOC550998	XP_006562894.1	Amel	XM_006562831.3	NonCanon
ORTHOMCL175	null	2	2	4	6	3	3	3	1	1	1	2	LOC100577002	XP_006565014.2	Amel	XM_006564951.3	NonCanon
ORTHOMCL177	null	2	1	3	4	4	6	2	2	1	1	1	LOC550659	XP_006560020.1	Amel	XM_006559957.2	NonCanon
ORTHOMCL179	null	3	2	3	2	4	2	1	2	2	2	4	LOC412598	XP_016769811.1	Amel	XM_016914322.2	NonCanon
ORTHOMCL195	null	4	2	3	2	3	2	2	2	2	2	3	LOC410396	XP_393876.1	Amel	XM_393876.7	NonCanon
