GeneID	name	Family.ID	source	TranscriptID	Class
18-w	NP_001013379.1	ORTHOMCL38	Amel	NM_001013361.1	NA
5-HT1	NP_001164579.1	ORTHOMCL4153	Amel	NM_001171108.1	NA
5-HT2alpha	NP_001189389.1	ORTHOMCL1395	Amel	NM_001202460.1	NA
5-HT2beta	NP_001191178.1	ORTHOMCL3325	Amel	NM_001204249.1	NA
5-ht7	NP_001071289.1	ORTHOMCL7819	Amel	NM_001077821.1	NA
A4	NP_001107670.1	ORTHOMCL7510	Amel	NM_001114198.1	NA
Ac3	NP_001071276.1	ORTHOMCL3993	Amel	NM_001077808.1	NA
AChE-2	NP_001035320.1	ORTHOMCL6571	Amel	NM_001040230.1	NonCanon
Acph-1	NP_001013377.2	ORTHOMCL797	Amel	NM_001013359.2	NA
ACSF2	NP_001193902.1	ORTHOMCL4053	Amel	NM_001206973.1	NA
Adar	NP_001091684.1	ORTHOMCL4778	Amel	NM_001098214.1	NA
Adk1	NP_001164443.1	ORTHOMCL122	Amel	NM_001170972.1	NA
Akhr	NP_001035354.1	ORTHOMCL2333	Amel	NM_001040264.1	NA
Amel_8916	NP_001071290.1	ORTHOMCL3017	Amel	NM_001077822.1	NA
Amih	NP_001011568.1	ORTHOMCL827	Amel	NM_001011568.1	NA
Ant	NP_001010975.1	ORTHOMCL3050	Amel	NM_001010975.1	NA
Antp	NP_001011571.1	ORTHOMCL77	Amel	NM_001011571.1	NA
Apd-1	NP_001078814.1	ORTHOMCL848	Amel	NM_001085345.1	NonCanon
Apd-2	NP_001078815.1	ORTHOMCL8368	Amel	NM_001085346.1	NA
apd-3	NP_001167616.1	ORTHOMCL6590	Amel	NM_001174145.1	NA
Apid1	NP_001011613.1	ORTHOMCL4857	Amel	NM_001011613.1	Canon
Apime-ASTA	NP_001161181.1	ORTHOMCL5903	Amel	NM_001167709.1	NA
Argk	NP_001011603.1	ORTHOMCL2640	Amel	NM_001011603.1	NA
arm	NP_001172034.1	ORTHOMCL6763	Amel	NM_001185105.1	NA
ATP5G2	NP_001229586.1	ORTHOMCL2276	Amel	NM_001242657.1	NA
aub	NP_001159378.1	ORTHOMCL3197	Amel	NM_001165906.1	Canon
B-gluc1	NP_001157186.1	ORTHOMCL4003	Amel	NM_001163714.1	Canon
BBIP1	NP_001172015.1	ORTHOMCL3298	Amel	NM_001185086.1	NA
Blop	NP_001011606.1	ORTHOMCL4047	Amel	NM_001011606.1	NA
Br-c	NP_001035356.1	ORTHOMCL1419	Amel	NM_001040266.2	NA
Brd7	NP_001229444.1	ORTHOMCL564	Amel	NM_001242515.1	NA
Burs	NP_001091704.1	ORTHOMCL7414	Amel	NM_001098234.1	NA
c-mos	NP_001011644.1	ORTHOMCL7626	Amel	NM_001011644.2	NA
C1q-VP	NP_001138311.1	ORTHOMCL8773	Amel	NM_001144839.2	NA
cact1	NP_001157184.1	ORTHOMCL4232	Amel	NM_001163712.1	Canon
cad	NP_001239359.1	ORTHOMCL3932	Amel	NM_001252430.1	NA
Calpb	NP_001153877.1	ORTHOMCL1876	Amel	NM_001160405.2	NA
Camkii	NP_001128422.1	ORTHOMCL562	Amel	NM_001134950.1	NA
Cat	NP_001171540.1	ORTHOMCL3091	Amel	NM_001178069.1	NA
Cbs	NP_001035353.1	ORTHOMCL4772	Amel	NM_001040263.1	NA
Cdc37	NP_001229443.1	ORTHOMCL4688	Amel	NM_001242514.1	NA
Cdk5	NP_001161897.1	ORTHOMCL4577	Amel	NM_001168425.1	NA
Chmp1	NP_001229396.1	ORTHOMCL1514	Amel	NM_001242467.1	NA
Coq7	NP_001171538.1	ORTHOMCL2394	Amel	NM_001178067.1	NA
Cox6b1	NP_001165874.1	ORTHOMCL940	Amel	NM_001172403.1	NonCanon
Cox6c	NP_001165876.1	ORTHOMCL804	Amel	NM_001172405.1	NonCanon
Cpap3-b	NP_001165849.1	ORTHOMCL7906	Amel	NM_001172378.1	NA
Cpap3-c	NP_001165860.1	ORTHOMCL7161	Amel	NM_001172389.1	NA
Cpap3-d	NP_001165850.1	ORTHOMCL7931	Amel	NM_001172379.1	NA
CPF1	NP_001257760.1	ORTHOMCL5250	Amel	NM_001270831.1	NA
CPF2	NP_001257761.1	ORTHOMCL7493	Amel	NM_001270832.1	NA
CPR1	NP_001257746.1	ORTHOMCL10291	Amel	NM_001270817.1	NA
CPR11	NP_001257752.1	ORTHOMCL8093	Amel	NM_001270823.1	NA
CPR12	NP_001257753.1	ORTHOMCL3949	Amel	NM_001270824.1	NA
CPR13	NP_001257754.1	ORTHOMCL3567	Amel	NM_001270825.1	NA
CPR14	NP_001257742.1	ORTHOMCL3246	Amel	NM_001270813.1	NonCanon
CPR16	NP_001257755.1	ORTHOMCL4654	Amel	NM_001270826.1	NA
CPR17	NP_001257756.1	ORTHOMCL855	Amel	NM_001270827.1	NA
CPR18	NP_001257757.1	ORTHOMCL8721	Amel	NM_001270828.1	NA
CPR19	NP_001161365.1	ORTHOMCL6295	Amel	NM_001167893.1	NonCanon
CPR2	NP_001257747.1	ORTHOMCL1320	Amel	NM_001270818.1	NA
CPR21	NP_001257744.1	ORTHOMCL7204	Amel	NM_001270815.1	NA
CPR22	NP_001257743.1	ORTHOMCL5669	Amel	NM_001270814.1	NA
CPR27	NP_001257758.1	ORTHOMCL7642	Amel	NM_001270829.1	NA
CPR28	NP_001257759.1	ORTHOMCL4605	Amel	NM_001270830.1	NA
CPR3	NP_001257748.1	ORTHOMCL3959	Amel	NM_001270819.1	NA
CPR4	NP_001257749.1	ORTHOMCL8649	Amel	NM_001270820.1	NA
CPR5	NP_001257750.1	ORTHOMCL4368	Amel	NM_001270821.1	NA
CPR6	NP_001257751.1	ORTHOMCL8341	Amel	NM_001270822.1	NA
crh-BP	NP_001012633.1	ORTHOMCL8332	Amel	NM_001012615.1	NA
Cry2	NP_001077099.1	ORTHOMCL1223	Amel	NM_001083630.1	NA
Cryl1	NP_001129207.1	ORTHOMCL3814	Amel	NM_001135735.1	NA
Crz	NP_001012981.1	ORTHOMCL3537	Amel	NM_001012963.1	NA
