	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot	GeneID	name	source	TranscriptID	Class
ORTHOMCL2	null	16	11	12	16	20	15	12	11	10	12	13	LOC409897	XP_026297225.1	Amel	XM_026441440.1	Background
ORTHOMCL3	null	11	18	10	13	13	11	20	7	7	11	22	Cyp6as5	NP_001035324.1	Amel	NM_001040234.1	Background
ORTHOMCL5	null	4	4	17	27	13	11	9	6	10	8	7	LOC552395	XP_026301320.1	Amel	XM_026445535.1	Background
ORTHOMCL6	null	9	7	8	9	29	6	9	8	7	5	6	LOC412808	XP_006565537.1	Amel	XM_006565474.3	Background
ORTHOMCL7	null	15	13	12	9	10	1	17	9	2	4	8	LOC724462	XP_026300225.1	Amel	XM_026444440.1	Background
ORTHOMCL8	null	12	5	11	14	2	7	8	7	7	6	8	LOC724511	XP_001120384.3	Amel	XM_001120384.5	Background
ORTHOMCL10	null	6	5	6	6	6	6	6	6	6	6	17	LOC726598	XP_026300350.1	Amel	XM_026444565.1	Background
ORTHOMCL11	null	6	6	6	6	6	6	6	6	5	5	11	LOC550801	XP_026300867.1	Amel	XM_026445082.1	Background
ORTHOMCL13	null	5	5	6	7	7	6	7	6	5	7	6	Hsc70-5	NP_001153520.1	Amel	NM_001160048.1	Background
ORTHOMCL16	null	8	4	6	5	4	4	9	9	4	4	5	For	NP_001011581.1	Amel	NM_001011581.1	Background
ORTHOMCL17	null	5	5	7	7	7	5	5	5	5	4	5	LOC410639	XP_006563197.1	Amel	XM_006563134.3	Background
ORTHOMCL20	null	6	1	7	6	4	5	5	5	5	5	4	LOC410788	XP_026301853.1	Amel	XM_026446068.1	Background
ORTHOMCL22	null	5	5	5	5	4	4	6	5	5	5	4	nAChRa8	NP_001011575.1	Amel	NM_001011575.1	Background
ORTHOMCL23	null	2	2	10	9	13	3	3	2	2	1	5	LOC413213	XP_006559344.1	Amel	XM_006559281.3	Background
ORTHOMCL24	null	5	4	5	11	3	3	4	4	4	4	5	Glurb	NP_001011623.1	Amel	NM_001011623.1	Background
ORTHOMCL25	null	5	3	3	4	5	5	5	5	6	7	3	LOC410009	XP_026296653.1	Amel	XM_026440868.1	Background
ORTHOMCL26	null	5	4	12	11	2	2	4	5	1	2	3	Or27	NP_001229898.1	Amel	NM_001242969.1	Background
ORTHOMCL27	null	5	5	4	4	4	4	5	5	4	3	6	LOC410633	XP_026301195.1	Amel	XM_026445410.1	Background
ORTHOMCL28	null	6	6	9	8	4	1	3	1	2	6	2	Or57	NP_001229910.1	Amel	NM_001242981.1	Background
ORTHOMCL29	null	4	4	5	4	6	4	4	5	4	3	5	LOC411744	XP_006567454.1	Amel	XM_006567391.3	Background
ORTHOMCL31	null	6	3	2	5	2	6	4	5	6	5	4	Dscam	NP_001014991.1	Amel	NM_001014991.1	Background
ORTHOMCL32	null	6	6	2	4	9	1	3	3	1	3	10	Or25	NP_001229896.1	Amel	NM_001242967.1	Background
ORTHOMCL33	null	4	3	6	4	5	4	5	4	4	4	4	LOC408500	XP_016771728.1	Amel	XM_016916239.2	Background
ORTHOMCL34	null	3	3	2	4	3	4	11	4	4	3	6	LOC552371	XP_026301939.1	Amel	XM_026446154.1	Background
ORTHOMCL37	null	5	3	5	5	5	4	4	4	2	4	5	LOC551863	XP_624251.3	Amel	XM_624248.6	Background
ORTHOMCL38	null	4	4	4	4	5	4	4	4	4	4	5	18-w	NP_001013379.1	Amel	NM_001013361.1	Background
ORTHOMCL39	null	2	1	7	8	1	1	8	5	1	1	11	LOC724642	XP_006565262.1	Amel	XM_006565199.3	Background
ORTHOMCL41	null	1	1	4	4	14	4	2	2	5	6	2	LOC724211	XP_001119981.4	Amel	XM_001119981.5	Background
ORTHOMCL42	null	2	2	3	4	6	3	3	4	8	6	4	LOC725621	XP_026300962.1	Amel	XM_026445177.1	Background
ORTHOMCL43	null	4	3	4	3	4	4	5	4	4	4	5	LOC726069	XP_006563618.1	Amel	XM_006563555.3	Background
ORTHOMCL46	null	2	4	4	4	4	5	3	4	5	4	3	LOC406132	XP_016773376.1	Amel	XM_016917887.2	Background
ORTHOMCL47	null	3	3	6	3	5	3	3	4	4	4	4	NLG-3	NP_001139208.1	Amel	NM_001145736.1	Background
ORTHOMCL50	null	1	1	7	6	5	1	6	6	1	1	7	LOC412080	XP_016768964.1	Amel	XM_016913475.2	Background
ORTHOMCL51	null	6	2	4	4	7	5	4	3	2	2	2	Ef-1a-f1	NP_001011628.1	Amel	NM_001011628.2	Background
ORTHOMCL52	null	3	3	4	4	4	2	4	4	3	6	4	LOC726066	XP_001121836.2	Amel	XM_001121836.5	Background
ORTHOMCL54	null	6	4	11	8	5	1	1	1	1	1	2	Or63	NP_001229913.1	Amel	NM_001242984.1	Background
ORTHOMCL55	null	3	2	6	6	5	3	2	4	4	3	2	LOC411201	XP_006568430.1	Amel	XM_006568367.3	Background
ORTHOMCL56	null	4	1	7	6	1	1	8	7	1	1	3	LOC412885	XP_016769470.1	Amel	XM_016913981.2	Background
ORTHOMCL57	null	3	3	4	3	3	3	4	4	3	3	7	LOC409666	XP_006563475.1	Amel	XM_006563412.3	Background
ORTHOMCL58	null	4	4	8	9	1	0	7	3	0	2	2	Or105	NP_001229915.1	Amel	NM_001242986.1	Background
ORTHOMCL61	null	2	2	2	6	5	2	7	2	2	2	7	LOC409919	XP_006566624.1	Amel	XM_006566561.3	Background
ORTHOMCL62	null	2	2	2	2	9	2	2	2	11	2	3	LOC411959	XP_395426.5	Amel	XM_395426.7	Background
ORTHOMCL63	null	3	3	5	4	4	3	3	3	3	3	5	LOC552074	XP_026294943.1	Amel	XM_026439158.1	Background
ORTHOMCL64	null	3	2	8	6	2	2	5	2	3	3	3	LOC725438	XP_026298009.1	Amel	XM_026442224.1	Background
ORTHOMCL65	null	2	2	8	8	4	2	3	3	2	2	3	LOC410067	XP_393553.4	Amel	XM_393553.7	Background
ORTHOMCL66	null	3	3	6	4	5	3	3	3	3	3	3	LOC408920	XP_006567329.1	Amel	XM_006567266.3	Background
ORTHOMCL67	null	1	1	1	1	1	1	1	1	1	1	29	LOC724569	XP_006569489.2	Amel	XM_006569426.3	Background
ORTHOMCL68	null	3	3	4	8	4	4	3	4	1	1	3	LOC551795	XP_624183.1	Amel	XM_624180.6	Background
ORTHOMCL70	null	2	2	10	5	2	2	1	2	2	2	7	LOC410626	XP_016772038.1	Amel	XM_016916549.2	Background
ORTHOMCL71	null	2	1	5	4	5	1	5	5	1	1	7	LOC411655	XP_026298976.1	Amel	XM_026443191.1	Background
ORTHOMCL72	null	3	3	4	4	4	3	4	2	3	4	3	LOC552299	XP_624678.1	Amel	XM_624675.6	Background
