	pvalue	GeneID	name	source	TranscriptID	Class	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
ORTHOMCL15	0.001	LOC552637	XP_625015.1	Amel	XM_625012.4	Canon		5	5	6	5	7	4	7	5	4	3	14
ORTHOMCL44	0.0	LOC100577764	XP_026296924.1	Amel	XM_026441139.1	Canon		7	1	6	6	7	2	5	6	1	1	1
ORTHOMCL49	0.0	LOC409708	XP_006570610.1	Amel	XM_006570547.3	Canon		2	2	2	3	9	3	8	7	4	1	1
ORTHOMCL188	0.0	LOC552419	XP_016768307.1	Amel	XM_016912818.2	Canon		1	1	5	4	1	1	3	1	1	1	8
ORTHOMCL213	0.004	LOC726172	XP_016771429.1	Amel	XM_016915940.2	Canon		4	2	3	4	1	3	2	2	3	1	1
ORTHOMCL237	0.004	LOC100578030	XP_026299601.1	Amel	XM_026443816.1	Canon		2	1	5	4	2	3	1	2	1	1	3
ORTHOMCL327	0.0	LOC413772	XP_006572407.1	Amel	XM_006572344.3	Canon		1	1	3	4	2	1	2	1	1	1	7
ORTHOMCL462	0.013000000000000001	LOC408577	XP_016773222.2	Amel	XM_016917733.2	Canon		2	1	3	3	2	1	2	5	1	1	1
ORTHOMCL499	0.018000000000000002	LOC409036	XP_026298584.1	Amel	XM_026442799.1	Canon		1	1	3	4	2	3	2	3	1	1	1
ORTHOMCL500	0.006	LOC724408	XP_001119898.1	Amel	XM_001119898.5	Canon		1	1	3	4	1	1	2	2	1	1	5
ORTHOMCL559	0.001	LOC412816	XP_006569527.1	Amel	XM_006569464.3	Canon		3	1	4	4	1	1	3	1	1	1	1
ORTHOMCL607	0.006	LOC410812	XP_016773635.1	Amel	XM_016918146.2	Canon		3	1	2	2	1	1	3	1	1	1	4
ORTHOMCL638	0.005	Imd	NP_001157189.1	Amel	NM_001163717.1	Canon		1	1	5	6	1	1	1	1	1	1	1
ORTHOMCL680	0.0	LOC412703	XP_006562783.1	Amel	XM_006562720.3	Canon		3	1	2	1	1	1	1	0	1	1	7
ORTHOMCL684	0.01	LOC726766	XP_026302064.1	Amel	XM_026446279.1	Canon		1	1	1	1	1	2	1	1	1	1	8
ORTHOMCL694	0.0	LOC725111	XP_026300549.1	Amel	XM_026444764.1	Canon		1	1	3	6	2	1	1	1	1	1	1
ORTHOMCL715	0.0	LOC412115	XP_006559595.1	Amel	XM_006559532.3	Canon		7	1	1	1	1	2	1	2	1	1	1
ORTHOMCL734	0.003	LOC409814	XP_026298047.1	Amel	XM_026442262.1	Canon		3	1	4	4	1	1	1	1	1	1	1
ORTHOMCL780	0.013000000000000001	LOC413742	XP_397181.1	Amel	XM_397181.7	Canon		1	1	2	2	1	1	5	3	1	1	1
ORTHOMCL880	0.0	LOC410860	XP_016766188.2	Amel	XM_016910699.2	Canon		1	1	5	1	2	1	1	3	1	1	1
ORTHOMCL887	0.006999999999999999	LOC724873	XP_001120025.2	Amel	XM_001120025.5	Canon		1	1	4	4	3	1	1	1	0	1	1
ORTHOMCL921	0.02	LOC409941	XP_003250899.1	Amel	XM_003250851.4	Canon		1	1	1	1	1	1	1	1	1	1	7
ORTHOMCL935	0.0	LOC726781	XP_006566643.1	Amel	XM_006566580.3	Canon		1	1	3	4	1	1	4	1	0	0	1
ORTHOMCL970	0.027999999999999997	LOC409286	XP_006557302.1	Amel	XM_006557239.3	Canon		1	1	1	1	7	1	1	1	1	1	1
ORTHOMCL993	0.02	LOC551664	XP_026295986.1	Amel	XM_026440201.1	Canon		1	1	3	2	4	1	1	1	1	1	1
ORTHOMCL1129	0.023	LOC725512	XP_006560091.1	Amel	XM_006560028.3	Canon		1	1	2	4	2	1	1	1	1	1	1
ORTHOMCL1229	0.033	LOC725374	XP_006562044.3	Amel	XM_006561981.3	Canon		1	1	2	1	1	1	2	1	1	1	4
ORTHOMCL1247	0.042	LOC409334	XP_026296438.1	Amel	XM_026440653.1	Canon		1	1	1	3	1	2	1	1	1	1	3
ORTHOMCL1492	0.006999999999999999	LOC726760	XP_026294855.1	Amel	XM_026439070.1	Canon		1	1	4	1	2	1	1	1	1	1	1
ORTHOMCL1855	0.032	LOC551819	XP_624207.3	Amel	XM_624204.6	Canon		2	1	1	3	1	1	1	1	1	1	1
ORTHOMCL2084	0.013000000000000001	LOC410415	XP_006558581.1	Amel	XM_006558518.3	Canon		2	1	1	2	3	1	1	1	0	1	1
ORTHOMCL2985	0.003	LOC406142	NP_001011615.1	Amel	NM_001011615.1	Canon		3	1	1	0	1	0	1	1	2	1	1
