	pvalue	GeneID	name	source	TranscriptID	Class	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
ORTHOMCL14	0.0	Gat-1B	NP_001011643.1	Amel	NM_001011643.1	NonCanon		6	4	10	7	6	4	6	4	4	4	11
ORTHOMCL30	0.001	Dnmt1a	NP_001164522.1	Amel	NM_001171051.1	NonCanon		5	3	4	6	8	3	6	3	3	3	4
ORTHOMCL48	0.0	Hbg3	NP_001011608.1	Amel	NM_001011608.1	NonCanon		11	3	3	4	3	3	2	2	2	7	2
ORTHOMCL53	0.0	LOC409670	XP_006561279.1	Amel	XM_006561216.3	NonCanon		1	1	4	5	5	5	8	5	1	1	5
ORTHOMCL69	0.0	LOC725439	XP_016768850.2	Amel	XM_016913361.2	NonCanon		1	1	0	5	5	4	7	7	1	1	6
ORTHOMCL95	0.0	CYP6AQ1	NP_001191991.1	Amel	NM_001205062.1	NonCanon		2	1	4	7	4	5	1	1	2	1	6
ORTHOMCL100	0.022000000000000002	LOC406081	NP_001011574.1	Amel	NM_001011574.1	NonCanon		2	2	6	3	3	3	4	3	2	3	2
ORTHOMCL119	0.011000000000000001	LOC411935	XP_395404.2	Amel	XM_395404.7	NonCanon		3	2	5	4	5	2	2	2	2	2	2
ORTHOMCL120	0.0	LOC413699	XP_397140.4	Amel	XM_397140.7	NonCanon		2	1	4	6	4	1	4	1	1	1	6
ORTHOMCL126	0.0	FAR1	NP_001180219.1	Amel	NM_001193290.1	NonCanon		1	1	1	1	4	3	10	1	1	1	7
ORTHOMCL131	0.0	LOC552488	XP_016771045.1	Amel	XM_016915556.2	NonCanon		1	1	7	7	1	1	2	1	1	1	8
ORTHOMCL138	0.012	LOC409265	XP_392786.2	Amel	XM_392786.7	NonCanon		4	2	5	5	2	2	2	2	2	2	2
ORTHOMCL171	0.0	LOC726061	XP_006571340.1	Amel	XM_006571277.3	NonCanon		3	1	3	3	1	1	4	6	2	1	3
ORTHOMCL172	0.0	LOC408979	XP_392511.2	Amel	XM_392511.7	NonCanon		2	1	4	5	1	2	4	4	1	1	3
ORTHOMCL173	0.0	LOC107965749	XP_026296160.1	Amel	XM_026440375.1	NonCanon		2	1	8	1	8	1	3	1	1	1	1
ORTHOMCL174	0.003	LOC550998	XP_006562894.1	Amel	XM_006562831.3	NonCanon		2	1	4	3	3	3	2	3	1	1	5
ORTHOMCL175	0.0	LOC100577002	XP_006565014.2	Amel	XM_006564951.3	NonCanon		2	2	4	6	3	3	3	1	1	1	2
ORTHOMCL177	0.0	LOC550659	XP_006560020.1	Amel	XM_006559957.2	NonCanon		2	1	3	4	4	6	2	2	1	1	1
ORTHOMCL179	0.025	LOC412598	XP_016769811.1	Amel	XM_016914322.2	NonCanon		3	2	3	2	4	2	1	2	2	2	4
ORTHOMCL195	0.043	LOC410396	XP_393876.1	Amel	XM_393876.7	NonCanon		4	2	3	2	3	2	2	2	2	2	3
ORTHOMCL218	0.0	LOC551619	XP_026296707.1	Amel	XM_026440922.1	NonCanon		3	1	5	3	4	1	3	3	1	1	1
ORTHOMCL227	0.0	LOC551805	XP_624193.2	Amel	XM_624190.6	NonCanon		4	3	4	6	2	1	1	1	1	1	2
ORTHOMCL241	0.0	LOC412378	XP_006567967.1	Amel	XM_006567904.3	NonCanon		5	1	2	2	5	1	3	2	1	1	2
ORTHOMCL245	0.037000000000000005	rtGEF	NP_001265258.1	Amel	NM_001278329.1	NonCanon		2	2	3	5	2	1	2	2	2	3	1
ORTHOMCL289	0.0	LOC408742	XP_392277.4	Amel	XM_392277.7	NonCanon		3	1	1	1	2	2	4	6	1	1	2
ORTHOMCL314	0.042	GstS1	NP_001153742.1	Amel	NM_001160270.1	NonCanon		1	1	2	2	4	3	1	1	5	2	2
ORTHOMCL318	0.0	LOC413030	XP_396481.3	Amel	XM_396481.6	NonCanon		1	1	4	7	4	1	2	1	1	1	1
ORTHOMCL319	0.0	LOC411457	XP_006566645.1	Amel	XM_006566582.3	NonCanon		1	1	3	4	5	1	5	1	1	1	1
ORTHOMCL328	0.0	LOC409905	XP_393396.2	Amel	XM_393396.6	NonCanon		1	1	5	3	5	1	3	1	1	1	2
ORTHOMCL331	0.0	LOC102656263	XP_006563787.1	Amel	XM_006563724.1	NonCanon		1	1	4	4	4	1	1	1	1	1	5
ORTHOMCL338	0.003	LOC409196	XP_006559494.1	Amel	XM_006559431.3	NonCanon		1	1	3	3	2	1	3	5	1	1	2
ORTHOMCL358	0.0	LOC409520	XP_393026.2	Amel	XM_393026.7	NonCanon		2	1	4	4	1	1	2	1	1	1	5
ORTHOMCL365	0.0	LOC413383	XP_006559859.1	Amel	XM_006559796.3	NonCanon		3	1	2	2	5	1	3	1	1	1	3
ORTHOMCL368	0.002	LOC551356	XP_026301920.1	Amel	XM_026446135.1	NonCanon		2	1	1	3	2	2	2	3	3	3	1
ORTHOMCL382	0.0	LOC411633	XP_006569376.1	Amel	XM_006569313.3	NonCanon		3	1	3	4	1	1	1	1	1	1	6
ORTHOMCL387	0.0	LOC411365	XP_006557316.1	Amel	XM_006557253.3	NonCanon		1	1	5	5	1	2	1	3	1	1	2
ORTHOMCL406	0.0	Jhe	NP_001011563.1	Amel	NM_001011563.1	NonCanon		1	2	2	3	2	1	4	4	2	1	1
ORTHOMCL427	0.0	LOC552562	XP_006568883.1	Amel	XM_006568820.3	NonCanon		3	1	5	4	2	1	1	1	1	1	2
ORTHOMCL435	0.001	LOC552432	XP_026298315.1	Amel	XM_026442530.1	NonCanon		2	1	4	3	1	1	2	3	1	1	3
ORTHOMCL438	0.0	LOC409019	XP_006561675.1	Amel	XM_006561612.3	NonCanon		3	1	2	1	2	4	1	2	1	1	4
ORTHOMCL445	0.0	LOC100576826	XP_006567941.1	Amel	XM_006567878.3	NonCanon		1	1	2	4	5	3	1	2	1	1	1
ORTHOMCL463	0.044000000000000004	LOC408953	XP_026297659.1	Amel	XM_026441874.1	NonCanon		2	2	1	1	2	2	2	2	1	1	6
ORTHOMCL464	0.0	LOC100578329	XP_026300187.1	Amel	XM_026444402.1	NonCanon		1	1	1	2	6	1	2	1	5	1	1
ORTHOMCL473	0.015	LOC552451	XP_026295766.1	Amel	XM_026439981.1	NonCanon		1	1	2	2	6	3	1	1	1	1	3
ORTHOMCL475	0.0	LOC410270	XP_393751.2	Amel	XM_393751.7	NonCanon		2	1	4	4	4	1	2	1	1	1	1
ORTHOMCL493	0.0	LOC413678	XP_016767794.2	Amel	XM_016912305.2	NonCanon		1	1	3	5	1	2	1	2	1	1	4
ORTHOMCL497	0.0	LOC408421	XP_623685.1	Amel	XM_623682.6	NonCanon		1	1	4	4	1	1	1	3	4	1	1
ORTHOMCL520	0.0	LOC551982	XP_006559857.1	Amel	XM_006559794.3	NonCanon		1	1	1	1	7	1	1	5	1	1	1
ORTHOMCL566	0.0	LOC724669	XP_026294924.1	Amel	XM_026439139.1	NonCanon		1	1	1	1	5	1	2	6	0	1	2
ORTHOMCL572	0.0	LOC726389	XP_016769991.2	Amel	XM_016914502.2	NonCanon		1	1	5	1	4	1	1	1	1	1	4
ORTHOMCL578	0.0	LOC724947	XP_016766914.1	Amel	XM_016911425.2	NonCanon		1	1	1	2	5	1	2	1	1	1	5
ORTHOMCL580	0.005	LOC410821	XP_006568998.1	Amel	XM_006568935.3	NonCanon		1	1	1	1	3	1	6	2	1	1	3
ORTHOMCL582	0.0	LOC551088	XP_623490.2	Amel	XM_623487.6	NonCanon		1	1	4	5	1	1	1	2	1	1	3
ORTHOMCL583	0.012	LOC413246	XP_006558879.1	Amel	XM_006558816.3	NonCanon		1	1	4	4	1	1	2	3	1	1	2
ORTHOMCL601	0.0	LOC413987	XP_006559822.1	Amel	XM_006559759.3	NonCanon		1	1	1	1	1	6	5	1	1	1	1
ORTHOMCL603	0.0	LOC724685	XP_006566695.1	Amel	XM_006566632.3	NonCanon		4	1	4	4	0	0	2	1	1	1	2
ORTHOMCL611	0.0	LOC726747	XP_001122467.1	Amel	XM_001122467.5	NonCanon		4	1	3	3	2	1	1	1	1	1	2
ORTHOMCL617	0.0	LOC409189	XP_006571560.1	Amel	XM_006571497.3	NonCanon		4	1	2	2	3	1	1	1	1	1	3
ORTHOMCL624	0.009000000000000001	LOC552551	XP_624930.1	Amel	XM_624927.6	NonCanon		1	1	2	3	3	1	1	2	1	1	4
ORTHOMCL644	0.001	LOC412619	XP_396074.2	Amel	XM_396074.6	NonCanon		3	1	3	3	3	1	2	1	1	1	1
ORTHOMCL645	0.009000000000000001	LOC724496	XP_006571180.1	Amel	XM_006571117.3	NonCanon		1	1	5	6	1	1	1	1	1	1	1
ORTHOMCL648	0.0	LOC411376	XP_026295181.1	Amel	XM_026439396.1	NonCanon		1	1	4	7	1	2	1	1	1	0	1
ORTHOMCL651	0.001	LOC408906	XP_016768666.1	Amel	XM_016913177.2	NonCanon		2	1	2	1	1	1	3	1	2	2	4
ORTHOMCL657	0.0	LOC409203	XP_392727.4	Amel	XM_392727.7	NonCanon		1	1	1	2	1	1	1	4	1	1	6
ORTHOMCL673	0.0	LOC551231	XP_026299072.1	Amel	XM_026443287.1	NonCanon		1	1	3	7	1	1	2	1	1	1	1
ORTHOMCL679	0.004	LOC408458	XP_026300941.1	Amel	XM_026445156.1	NonCanon		1	1	4	3	1	1	1	1	1	1	4
ORTHOMCL706	0.006	LOC552656	XP_625034.1	Amel	XM_625031.6	NonCanon		1	1	4	6	1	1	1	1	1	1	1
ORTHOMCL709	0.042	LOC726428	XP_006569035.1	Amel	XM_006568972.3	NonCanon		1	1	1	1	4	2	1	1	1	1	5
ORTHOMCL711	0.0	LOC409260	XP_006566547.1	Amel	XM_006566484.3	NonCanon		4	1	2	2	3	1	2	1	1	1	1
ORTHOMCL722	0.0	LOC726609	XP_016770405.1	Amel	XM_016914916.2	NonCanon		4	1	3	1	1	1	1	1	1	1	4
ORTHOMCL731	0.004	LOC726414	XP_026299178.1	Amel	XM_026443393.1	NonCanon		1	1	4	3	2	1	3	1	1	1	1
