	pvalue	GeneID	name	source	TranscriptID	Class	Desc	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
ORTHOMCL2	0.0	LOC409897	XP_026297225.1	Amel	XM_026441440.1	Background		16	11	12	16	20	15	12	11	10	12	13
ORTHOMCL3	0.0	Cyp6as5	NP_001035324.1	Amel	NM_001040234.1	Background		11	18	10	13	13	11	20	7	7	11	22
ORTHOMCL5	0.0	LOC552395	XP_026301320.1	Amel	XM_026445535.1	Background		4	4	17	27	13	11	9	6	10	8	7
ORTHOMCL6	0.0	LOC412808	XP_006565537.1	Amel	XM_006565474.3	Background		9	7	8	9	29	6	9	8	7	5	6
ORTHOMCL7	0.0	LOC724462	XP_026300225.1	Amel	XM_026444440.1	Background		15	13	12	9	10	1	17	9	2	4	8
ORTHOMCL8	0.0	LOC724511	XP_001120384.3	Amel	XM_001120384.5	Background		12	5	11	14	2	7	8	7	7	6	8
ORTHOMCL10	0.001	LOC726598	XP_026300350.1	Amel	XM_026444565.1	Background		6	5	6	6	6	6	6	6	6	6	17
ORTHOMCL16	0.0	For	NP_001011581.1	Amel	NM_001011581.1	Background		8	4	6	5	4	4	9	9	4	4	5
ORTHOMCL20	0.002	LOC410788	XP_026301853.1	Amel	XM_026446068.1	Background		6	1	7	6	4	5	5	5	5	5	4
ORTHOMCL23	0.0	LOC413213	XP_006559344.1	Amel	XM_006559281.3	Background		2	2	10	9	13	3	3	2	2	1	5
ORTHOMCL24	0.0	Glurb	NP_001011623.1	Amel	NM_001011623.1	Background		5	4	5	11	3	3	4	4	4	4	5
ORTHOMCL25	0.026000000000000002	LOC410009	XP_026296653.1	Amel	XM_026440868.1	Background		5	3	3	4	5	5	5	5	6	7	3
ORTHOMCL26	0.0	Or27	NP_001229898.1	Amel	NM_001242969.1	Background		5	4	12	11	2	2	4	5	1	2	3
ORTHOMCL28	0.0	Or57	NP_001229910.1	Amel	NM_001242981.1	Background		6	6	9	8	4	1	3	1	2	6	2
ORTHOMCL31	0.0	Dscam	NP_001014991.1	Amel	NM_001014991.1	Background		6	3	2	5	2	6	4	5	6	5	4
ORTHOMCL32	0.0	Or25	NP_001229896.1	Amel	NM_001242967.1	Background		6	6	2	4	9	1	3	3	1	3	10
ORTHOMCL34	0.0	LOC552371	XP_026301939.1	Amel	XM_026446154.1	Background		3	3	2	4	3	4	11	4	4	3	6
ORTHOMCL39	0.0	LOC724642	XP_006565262.1	Amel	XM_006565199.3	Background		2	1	7	8	1	1	8	5	1	1	11
ORTHOMCL41	0.0	LOC724211	XP_001119981.4	Amel	XM_001119981.5	Background		1	1	4	4	14	4	2	2	5	6	2
ORTHOMCL42	0.004	LOC725621	XP_026300962.1	Amel	XM_026445177.1	Background		2	2	3	4	6	3	3	4	8	6	4
ORTHOMCL50	0.0	LOC412080	XP_016768964.1	Amel	XM_016913475.2	Background		1	1	7	6	5	1	6	6	1	1	7
ORTHOMCL51	0.0	Ef-1a-f1	NP_001011628.1	Amel	NM_001011628.2	Background		6	2	4	4	7	5	4	3	2	2	2
ORTHOMCL54	0.0	Or63	NP_001229913.1	Amel	NM_001242984.1	Background		6	4	11	8	5	1	1	1	1	1	2
ORTHOMCL55	0.009000000000000001	LOC411201	XP_006568430.1	Amel	XM_006568367.3	Background		3	2	6	6	5	3	2	4	4	3	2
ORTHOMCL56	0.0	LOC412885	XP_016769470.1	Amel	XM_016913981.2	Background		4	1	7	6	1	1	8	7	1	1	3
ORTHOMCL58	0.0	Or105	NP_001229915.1	Amel	NM_001242986.1	Background		4	4	8	9	1	0	7	3	0	2	2
ORTHOMCL61	0.0	LOC409919	XP_006566624.1	Amel	XM_006566561.3	Background		2	2	2	6	5	2	7	2	2	2	7
ORTHOMCL62	0.0	LOC411959	XP_395426.5	Amel	XM_395426.7	Background		2	2	2	2	9	2	2	2	11	2	3
ORTHOMCL64	0.0	LOC725438	XP_026298009.1	Amel	XM_026442224.1	Background		3	2	8	6	2	2	5	2	3	3	3
ORTHOMCL65	0.004	LOC410067	XP_393553.4	Amel	XM_393553.7	Background		2	2	8	8	4	2	3	3	2	2	3
ORTHOMCL67	0.0	LOC724569	XP_006569489.2	Amel	XM_006569426.3	Background		1	1	1	1	1	1	1	1	1	1	29
ORTHOMCL68	0.0	LOC551795	XP_624183.1	Amel	XM_624180.6	Background		3	3	4	8	4	4	3	4	1	1	3
ORTHOMCL70	0.0	LOC410626	XP_016772038.1	Amel	XM_016916549.2	Background		2	2	10	5	2	2	1	2	2	2	7
ORTHOMCL71	0.0	LOC411655	XP_026298976.1	Amel	XM_026443191.1	Background		2	1	5	4	5	1	5	5	1	1	7
ORTHOMCL74	0.0	LOC409713	XP_016772165.1	Amel	XM_016916676.2	Background		3	1	8	7	3	4	2	2	2	2	2
ORTHOMCL76	0.0	LOC412399	XP_026300136.1	Amel	XM_026444351.1	Background		1	1	11	8	3	2	1	1	2	1	5
ORTHOMCL77	0.0	Antp	NP_001011571.1	Amel	NM_001011571.1	Background		1	1	6	6	5	1	5	1	1	1	8
ORTHOMCL78	0.0	LOC410373	XP_393853.1	Amel	XM_393853.7	Background		1	1	5	6	10	1	1	2	1	1	7
ORTHOMCL79	0.0	LOC100578418	XP_016766794.1	Amel	XM_016911305.2	Background		0	1	7	10	5	1	8	2	1	1	0
ORTHOMCL80	0.0	LOC410211	XP_016769737.1	Amel	XM_016914248.2	Background		3	1	5	4	6	3	1	3	4	1	4
ORTHOMCL82	0.0	LOC550926	XP_006572329.1	Amel	XM_006572266.3	Background		3	1	4	6	9	1	3	1	1	1	5
ORTHOMCL84	0.006999999999999999	LOC409899	XP_016768163.1	Amel	XM_016912674.2	Background		3	2	7	6	1	2	2	3	3	3	3
ORTHOMCL85	0.0	LOC725017	XP_026296993.1	Amel	XM_026441208.1	Background		3	4	5	4	1	2	6	1	2	3	4
ORTHOMCL86	0.0	LOC552116	XP_624499.1	Amel	XM_624496.6	Background		3	2	6	3	9	2	3	2	2	1	2
ORTHOMCL87	0.023	LOC409792	XP_026302002.1	Amel	XM_026446217.1	Background		2	2	5	4	5	2	3	3	2	2	5
ORTHOMCL88	0.0	LOC410539	XP_394018.2	Amel	XM_394018.7	Background		1	1	4	6	9	1	4	1	1	1	6
ORTHOMCL89	0.006999999999999999	LOC725456	XP_006565021.2	Amel	XM_006564958.3	Background		3	2	3	6	3	4	3	4	2	2	3
ORTHOMCL90	0.0	LOC725936	XP_026297485.1	Amel	XM_026441700.1	Background		6	1	3	3	5	5	1	1	2	4	3
ORTHOMCL92	0.002	LOC409715	XP_016771426.1	Amel	XM_016915937.2	Background		5	2	5	5	3	2	4	2	2	2	2
ORTHOMCL96	0.0	LOC551582	XP_623977.2	Amel	XM_623974.5	Background		5	1	3	4	3	2	4	5	1	1	4
ORTHOMCL97	0.0	LOC409056	XP_392582.1	Amel	XM_392582.7	Background		1	1	12	1	1	1	1	1	1	1	12
ORTHOMCL101	0.0	LOC551635	NP_001265257.1	Amel	NM_001278328.1	Background		3	2	2	2	1	4	2	6	2	2	7
ORTHOMCL105	0.02	LOC551259	XP_026297592.1	Amel	XM_026441807.1	Background		2	1	3	2	4	4	5	2	4	2	4
ORTHOMCL106	0.0	LOC100577636	XP_003251584.1	Amel	XM_003251536.4	Background		1	1	3	3	6	2	2	2	2	1	10
ORTHOMCL107	0.002	LOC726683	XP_026296540.1	Amel	XM_026440755.1	Background		5	2	2	2	2	2	4	2	3	5	3
ORTHOMCL108	0.0	LOC413490	XP_396934.4	Amel	XM_396934.7	Background		4	1	6	5	4	1	7	1	1	1	1
